Epoch 1: Loss = 3.9289, NME = 0.0679, Pixel Error = 79.1560, Val Loss = 2.7057, Val NME = 0.0623, Val Pixel Error = 70.2464
Epoch 2: Loss = 2.2312, NME = 0.0493, Pixel Error = 57.4614, Val Loss = 1.5947, Val NME = 0.0252, Val Pixel Error = 28.3184
Epoch 3: Loss = 1.6736, NME = 0.0235, Pixel Error = 27.4944, Val Loss = 1.3843, Val NME = 0.0180, Val Pixel Error = 20.4259
Epoch 4: Loss = 1.5450, NME = 0.0209, Pixel Error = 24.5875, Val Loss = 1.3275, Val NME = 0.0169, Val Pixel Error = 19.2479
Epoch 5: Loss = 1.4070, NME = 0.0177, Pixel Error = 20.7889, Val Loss = 1.1099, Val NME = 0.0129, Val Pixel Error = 14.6424
Epoch 6: Loss = 1.1293, NME = 0.0125, Pixel Error = 14.5707, Val Loss = 0.8466, Val NME = 0.0092, Val Pixel Error = 10.3957
Epoch 7: Loss = 0.8721, NME = 0.0094, Pixel Error = 10.9270, Val Loss = 0.6266, Val NME = 0.0071, Val Pixel Error = 7.9450
Epoch 8: Loss = 0.6974, NME = 0.0077, Pixel Error = 8.9383, Val Loss = 0.5477, Val NME = 0.0062, Val Pixel Error = 7.0501
Epoch 9: Loss = 0.5972, NME = 0.0067, Pixel Error = 7.7852, Val Loss = 0.5891, Val NME = 0.0071, Val Pixel Error = 7.9978
Epoch 10: Loss = 0.5261, NME = 0.0061, Pixel Error = 7.1755, Val Loss = 0.5035, Val NME = 0.0060, Val Pixel Error = 6.8486
Epoch 11: Loss = 0.4723, NME = 0.0057, Pixel Error = 6.6175, Val Loss = 0.4754, Val NME = 0.0059, Val Pixel Error = 6.6225
Epoch 12: Loss = 0.4334, NME = 0.0053, Pixel Error = 6.2220, Val Loss = 0.4578, Val NME = 0.0057, Val Pixel Error = 6.4383
Epoch 13: Loss = 0.3944, NME = 0.0049, Pixel Error = 5.7505, Val Loss = 0.4321, Val NME = 0.0054, Val Pixel Error = 6.1773
Epoch 14: Loss = 0.3645, NME = 0.0047, Pixel Error = 5.4729, Val Loss = 0.4368, Val NME = 0.0055, Val Pixel Error = 6.2518
Epoch 15: Loss = 0.3485, NME = 0.0045, Pixel Error = 5.3115, Val Loss = 0.4035, Val NME = 0.0053, Val Pixel Error = 5.9694
Epoch 16: Loss = 0.3237, NME = 0.0043, Pixel Error = 5.0673, Val Loss = 0.4740, Val NME = 0.0057, Val Pixel Error = 6.3479
Epoch 17: Loss = 0.2996, NME = 0.0041, Pixel Error = 4.7894, Val Loss = 0.4289, Val NME = 0.0053, Val Pixel Error = 6.0589
Epoch 18: Loss = 0.2851, NME = 0.0039, Pixel Error = 4.6142, Val Loss = 0.4382, Val NME = 0.0053, Val Pixel Error = 5.9993
Epoch 19: Loss = 0.2680, NME = 0.0038, Pixel Error = 4.4521, Val Loss = 0.4454, Val NME = 0.0054, Val Pixel Error = 6.0977
Epoch 20: Loss = 0.2552, NME = 0.0037, Pixel Error = 4.2937, Val Loss = 0.4537, Val NME = 0.0053, Val Pixel Error = 5.9755
Epoch 21: Loss = 0.2411, NME = 0.0035, Pixel Error = 4.1405, Val Loss = 0.4028, Val NME = 0.0050, Val Pixel Error = 5.6721
Epoch 22: Loss = 0.2287, NME = 0.0034, Pixel Error = 4.0127, Val Loss = 0.4658, Val NME = 0.0054, Val Pixel Error = 6.1364
Epoch 23: Loss = 0.2133, NME = 0.0033, Pixel Error = 3.8281, Val Loss = 0.4145, Val NME = 0.0051, Val Pixel Error = 5.7245
Epoch 24: Loss = 0.1962, NME = 0.0031, Pixel Error = 3.6510, Val Loss = 0.4419, Val NME = 0.0052, Val Pixel Error = 5.9252
Epoch 25: Loss = 0.1871, NME = 0.0030, Pixel Error = 3.5375, Val Loss = 0.4383, Val NME = 0.0049, Val Pixel Error = 5.6091
Epoch 26: Loss = 0.1768, NME = 0.0029, Pixel Error = 3.4284, Val Loss = 0.4502, Val NME = 0.0052, Val Pixel Error = 5.8533
Epoch 27: Loss = 0.1713, NME = 0.0029, Pixel Error = 3.3506, Val Loss = 0.4671, Val NME = 0.0051, Val Pixel Error = 5.7769
Epoch 28: Loss = 0.1630, NME = 0.0028, Pixel Error = 3.2640, Val Loss = 0.4241, Val NME = 0.0051, Val Pixel Error = 5.7249
Epoch 29: Loss = 0.1544, NME = 0.0027, Pixel Error = 3.1726, Val Loss = 0.4554, Val NME = 0.0052, Val Pixel Error = 5.8843
Epoch 30: Loss = 0.1473, NME = 0.0026, Pixel Error = 3.0541, Val Loss = 0.4622, Val NME = 0.0052, Val Pixel Error = 5.9350
Epoch 31: Loss = 0.1395, NME = 0.0025, Pixel Error = 2.9670, Val Loss = 0.4622, Val NME = 0.0052, Val Pixel Error = 5.8716
Epoch 32: Loss = 0.1334, NME = 0.0024, Pixel Error = 2.8724, Val Loss = 0.4422, Val NME = 0.0049, Val Pixel Error = 5.6169
Epoch 33: Loss = 0.1270, NME = 0.0024, Pixel Error = 2.7911, Val Loss = 0.4494, Val NME = 0.0051, Val Pixel Error = 5.7546
Epoch 34: Loss = 0.1259, NME = 0.0024, Pixel Error = 2.7861, Val Loss = 0.5005, Val NME = 0.0052, Val Pixel Error = 5.8762
Epoch 35: Loss = 0.1184, NME = 0.0023, Pixel Error = 2.6939, Val Loss = 0.4674, Val NME = 0.0050, Val Pixel Error = 5.7019
Epoch 36: Loss = 0.1163, NME = 0.0023, Pixel Error = 2.6536, Val Loss = 0.4905, Val NME = 0.0052, Val Pixel Error = 5.8410
Epoch 37: Loss = 0.1116, NME = 0.0022, Pixel Error = 2.5987, Val Loss = 0.4689, Val NME = 0.0051, Val Pixel Error = 5.8064
Epoch 38: Loss = 0.1083, NME = 0.0022, Pixel Error = 2.5717, Val Loss = 0.4582, Val NME = 0.0049, Val Pixel Error = 5.5963
Epoch 39: Loss = 0.1062, NME = 0.0021, Pixel Error = 2.5112, Val Loss = 0.4739, Val NME = 0.0050, Val Pixel Error = 5.7188
Epoch 40: Loss = 0.0997, NME = 0.0021, Pixel Error = 2.4384, Val Loss = 0.4365, Val NME = 0.0049, Val Pixel Error = 5.5225
Epoch 41: Loss = 0.0986, NME = 0.0021, Pixel Error = 2.4051, Val Loss = 0.4509, Val NME = 0.0049, Val Pixel Error = 5.5987
Epoch 42: Loss = 0.0974, NME = 0.0021, Pixel Error = 2.4258, Val Loss = 0.4227, Val NME = 0.0048, Val Pixel Error = 5.4958
Epoch 43: Loss = 0.0929, NME = 0.0020, Pixel Error = 2.3495, Val Loss = 0.4438, Val NME = 0.0049, Val Pixel Error = 5.5566
Epoch 44: Loss = 0.0888, NME = 0.0019, Pixel Error = 2.2802, Val Loss = 0.4455, Val NME = 0.0049, Val Pixel Error = 5.5300
Epoch 45: Loss = 0.0884, NME = 0.0019, Pixel Error = 2.2820, Val Loss = 0.4611, Val NME = 0.0048, Val Pixel Error = 5.4886
Epoch 46: Loss = 0.0841, NME = 0.0019, Pixel Error = 2.2133, Val Loss = 0.4841, Val NME = 0.0050, Val Pixel Error = 5.6576
Epoch 47: Loss = 0.0829, NME = 0.0019, Pixel Error = 2.1821, Val Loss = 0.5074, Val NME = 0.0051, Val Pixel Error = 5.8203
Epoch 48: Loss = 0.0827, NME = 0.0019, Pixel Error = 2.1818, Val Loss = 0.4280, Val NME = 0.0048, Val Pixel Error = 5.4590
Epoch 49: Loss = 0.0794, NME = 0.0018, Pixel Error = 2.1464, Val Loss = 0.4522, Val NME = 0.0049, Val Pixel Error = 5.5582
Epoch 50: Loss = 0.0803, NME = 0.0018, Pixel Error = 2.1569, Val Loss = 0.4746, Val NME = 0.0050, Val Pixel Error = 5.6321
Epoch 51: Loss = 0.0770, NME = 0.0018, Pixel Error = 2.1111, Val Loss = 0.4374, Val NME = 0.0048, Val Pixel Error = 5.4568
Epoch 52: Loss = 0.0743, NME = 0.0017, Pixel Error = 2.0531, Val Loss = 0.4399, Val NME = 0.0048, Val Pixel Error = 5.4780
Epoch 53: Loss = 0.0735, NME = 0.0018, Pixel Error = 2.0569, Val Loss = 0.4928, Val NME = 0.0051, Val Pixel Error = 5.7777
Epoch 54: Loss = 0.0728, NME = 0.0018, Pixel Error = 2.0471, Val Loss = 0.4694, Val NME = 0.0049, Val Pixel Error = 5.5284
Epoch 55: Loss = 0.0700, NME = 0.0017, Pixel Error = 1.9730, Val Loss = 0.4561, Val NME = 0.0050, Val Pixel Error = 5.6519
Epoch 56: Loss = 0.0694, NME = 0.0017, Pixel Error = 1.9922, Val Loss = 0.4378, Val NME = 0.0049, Val Pixel Error = 5.5314
Epoch 57: Loss = 0.0651, NME = 0.0016, Pixel Error = 1.9163, Val Loss = 0.4627, Val NME = 0.0049, Val Pixel Error = 5.5930
Epoch 58: Loss = 0.0661, NME = 0.0017, Pixel Error = 1.9411, Val Loss = 0.4374, Val NME = 0.0048, Val Pixel Error = 5.4219
Epoch 59: Loss = 0.0636, NME = 0.0016, Pixel Error = 1.8997, Val Loss = 0.4405, Val NME = 0.0048, Val Pixel Error = 5.5128
Epoch 60: Loss = 0.0628, NME = 0.0016, Pixel Error = 1.8797, Val Loss = 0.4418, Val NME = 0.0048, Val Pixel Error = 5.4513
Epoch 61: Loss = 0.0610, NME = 0.0016, Pixel Error = 1.8531, Val Loss = 0.5009, Val NME = 0.0051, Val Pixel Error = 5.7620
Epoch 62: Loss = 0.0593, NME = 0.0016, Pixel Error = 1.8309, Val Loss = 0.4616, Val NME = 0.0049, Val Pixel Error = 5.5456
Epoch 63: Loss = 0.0603, NME = 0.0016, Pixel Error = 1.8449, Val Loss = 0.4360, Val NME = 0.0048, Val Pixel Error = 5.4652
Epoch 64: Loss = 0.0584, NME = 0.0015, Pixel Error = 1.8128, Val Loss = 0.4989, Val NME = 0.0051, Val Pixel Error = 5.7168
Epoch 65: Loss = 0.0584, NME = 0.0015, Pixel Error = 1.8145, Val Loss = 0.4764, Val NME = 0.0050, Val Pixel Error = 5.6585
Epoch 66: Loss = 0.0569, NME = 0.0015, Pixel Error = 1.7864, Val Loss = 0.4502, Val NME = 0.0049, Val Pixel Error = 5.5347
Epoch 67: Loss = 0.0558, NME = 0.0015, Pixel Error = 1.7726, Val Loss = 0.4547, Val NME = 0.0048, Val Pixel Error = 5.4715
Epoch 68: Loss = 0.0539, NME = 0.0015, Pixel Error = 1.7378, Val Loss = 0.4563, Val NME = 0.0048, Val Pixel Error = 5.4588
Epoch 69: Loss = 0.0543, NME = 0.0015, Pixel Error = 1.7397, Val Loss = 0.4475, Val NME = 0.0049, Val Pixel Error = 5.5639
Epoch 70: Loss = 0.0525, NME = 0.0015, Pixel Error = 1.7141, Val Loss = 0.4497, Val NME = 0.0049, Val Pixel Error = 5.5354
Epoch 71: Loss = 0.0502, NME = 0.0014, Pixel Error = 1.6670, Val Loss = 0.4320, Val NME = 0.0048, Val Pixel Error = 5.3967
Epoch 72: Loss = 0.0507, NME = 0.0014, Pixel Error = 1.6721, Val Loss = 0.4661, Val NME = 0.0049, Val Pixel Error = 5.5676
Epoch 73: Loss = 0.0500, NME = 0.0014, Pixel Error = 1.6644, Val Loss = 0.4403, Val NME = 0.0048, Val Pixel Error = 5.4389
Epoch 74: Loss = 0.0505, NME = 0.0014, Pixel Error = 1.6763, Val Loss = 0.4435, Val NME = 0.0048, Val Pixel Error = 5.4640
Epoch 75: Loss = 0.0487, NME = 0.0014, Pixel Error = 1.6463, Val Loss = 0.4552, Val NME = 0.0049, Val Pixel Error = 5.5097
Epoch 76: Loss = 0.0462, NME = 0.0014, Pixel Error = 1.5828, Val Loss = 0.4876, Val NME = 0.0050, Val Pixel Error = 5.6935
Epoch 77: Loss = 0.0465, NME = 0.0014, Pixel Error = 1.6036, Val Loss = 0.4612, Val NME = 0.0049, Val Pixel Error = 5.5087
Epoch 78: Loss = 0.0463, NME = 0.0014, Pixel Error = 1.6069, Val Loss = 0.4473, Val NME = 0.0048, Val Pixel Error = 5.4429
Epoch 79: Loss = 0.0462, NME = 0.0014, Pixel Error = 1.5985, Val Loss = 0.4515, Val NME = 0.0048, Val Pixel Error = 5.4447
Epoch 80: Loss = 0.0435, NME = 0.0013, Pixel Error = 1.5487, Val Loss = 0.4411, Val NME = 0.0048, Val Pixel Error = 5.3970
Epoch 81: Loss = 0.0434, NME = 0.0013, Pixel Error = 1.5455, Val Loss = 0.4436, Val NME = 0.0048, Val Pixel Error = 5.4352
Epoch 82: Loss = 0.0404, NME = 0.0013, Pixel Error = 1.4792, Val Loss = 0.4382, Val NME = 0.0048, Val Pixel Error = 5.4354
Epoch 83: Loss = 0.0433, NME = 0.0013, Pixel Error = 1.5415, Val Loss = 0.4540, Val NME = 0.0049, Val Pixel Error = 5.5086
Epoch 84: Loss = 0.0417, NME = 0.0013, Pixel Error = 1.5050, Val Loss = 0.4424, Val NME = 0.0048, Val Pixel Error = 5.4280
Epoch 85: Loss = 0.0407, NME = 0.0013, Pixel Error = 1.4918, Val Loss = 0.4447, Val NME = 0.0048, Val Pixel Error = 5.4843
Epoch 86: Loss = 0.0395, NME = 0.0013, Pixel Error = 1.4716, Val Loss = 0.4492, Val NME = 0.0048, Val Pixel Error = 5.4634
Epoch 87: Loss = 0.0388, NME = 0.0012, Pixel Error = 1.4576, Val Loss = 0.4483, Val NME = 0.0049, Val Pixel Error = 5.5178
Epoch 88: Loss = 0.0394, NME = 0.0013, Pixel Error = 1.4761, Val Loss = 0.4449, Val NME = 0.0048, Val Pixel Error = 5.4271
Epoch 89: Loss = 0.0388, NME = 0.0012, Pixel Error = 1.4649, Val Loss = 0.4632, Val NME = 0.0049, Val Pixel Error = 5.5549
Epoch 90: Loss = 0.0375, NME = 0.0012, Pixel Error = 1.4342, Val Loss = 0.4657, Val NME = 0.0048, Val Pixel Error = 5.4968
Epoch 91: Loss = 0.0363, NME = 0.0012, Pixel Error = 1.4179, Val Loss = 0.4482, Val NME = 0.0048, Val Pixel Error = 5.4835
Epoch 92: Loss = 0.0365, NME = 0.0012, Pixel Error = 1.4166, Val Loss = 0.4488, Val NME = 0.0048, Val Pixel Error = 5.4772
Epoch 93: Loss = 0.0356, NME = 0.0012, Pixel Error = 1.3925, Val Loss = 0.4434, Val NME = 0.0048, Val Pixel Error = 5.4502
Epoch 94: Loss = 0.0350, NME = 0.0012, Pixel Error = 1.3831, Val Loss = 0.4356, Val NME = 0.0048, Val Pixel Error = 5.4801
Epoch 95: Loss = 0.0361, NME = 0.0012, Pixel Error = 1.4094, Val Loss = 0.4410, Val NME = 0.0048, Val Pixel Error = 5.4314
Epoch 96: Loss = 0.0342, NME = 0.0012, Pixel Error = 1.3598, Val Loss = 0.4471, Val NME = 0.0048, Val Pixel Error = 5.4943
Epoch 97: Loss = 0.0343, NME = 0.0012, Pixel Error = 1.3718, Val Loss = 0.4591, Val NME = 0.0049, Val Pixel Error = 5.5257
Epoch 98: Loss = 0.0338, NME = 0.0012, Pixel Error = 1.3603, Val Loss = 0.4397, Val NME = 0.0048, Val Pixel Error = 5.4545
Epoch 99: Loss = 0.0325, NME = 0.0011, Pixel Error = 1.3309, Val Loss = 0.4410, Val NME = 0.0048, Val Pixel Error = 5.4426
Epoch 100: Loss = 0.0327, NME = 0.0011, Pixel Error = 1.3350, Val Loss = 0.4499, Val NME = 0.0048, Val Pixel Error = 5.4883
Epoch 101: Loss = 0.0315, NME = 0.0011, Pixel Error = 1.3124, Val Loss = 0.4481, Val NME = 0.0048, Val Pixel Error = 5.4199
Epoch 102: Loss = 0.0314, NME = 0.0011, Pixel Error = 1.3096, Val Loss = 0.4395, Val NME = 0.0048, Val Pixel Error = 5.4106
Epoch 103: Loss = 0.0322, NME = 0.0011, Pixel Error = 1.3271, Val Loss = 0.4548, Val NME = 0.0049, Val Pixel Error = 5.5052
Epoch 104: Loss = 0.0307, NME = 0.0011, Pixel Error = 1.2910, Val Loss = 0.4487, Val NME = 0.0048, Val Pixel Error = 5.4519
Epoch 105: Loss = 0.0300, NME = 0.0011, Pixel Error = 1.2781, Val Loss = 0.4447, Val NME = 0.0048, Val Pixel Error = 5.4482
Epoch 106: Loss = 0.0294, NME = 0.0011, Pixel Error = 1.2623, Val Loss = 0.4489, Val NME = 0.0048, Val Pixel Error = 5.4356
Epoch 107: Loss = 0.0294, NME = 0.0011, Pixel Error = 1.2563, Val Loss = 0.4399, Val NME = 0.0048, Val Pixel Error = 5.4314
Epoch 108: Loss = 0.0298, NME = 0.0011, Pixel Error = 1.2759, Val Loss = 0.4404, Val NME = 0.0048, Val Pixel Error = 5.4283
Epoch 109: Loss = 0.0297, NME = 0.0011, Pixel Error = 1.2719, Val Loss = 0.4347, Val NME = 0.0048, Val Pixel Error = 5.4116
Epoch 110: Loss = 0.0295, NME = 0.0011, Pixel Error = 1.2700, Val Loss = 0.4491, Val NME = 0.0048, Val Pixel Error = 5.4500
Epoch 111: Loss = 0.0283, NME = 0.0010, Pixel Error = 1.2321, Val Loss = 0.4473, Val NME = 0.0048, Val Pixel Error = 5.4703
Epoch 112: Loss = 0.0276, NME = 0.0010, Pixel Error = 1.2219, Val Loss = 0.4550, Val NME = 0.0048, Val Pixel Error = 5.4637
Epoch 113: Loss = 0.0284, NME = 0.0011, Pixel Error = 1.2391, Val Loss = 0.4248, Val NME = 0.0048, Val Pixel Error = 5.3963
Epoch 114: Loss = 0.0277, NME = 0.0010, Pixel Error = 1.2284, Val Loss = 0.4538, Val NME = 0.0048, Val Pixel Error = 5.4107
Epoch 115: Loss = 0.0269, NME = 0.0010, Pixel Error = 1.2050, Val Loss = 0.4429, Val NME = 0.0048, Val Pixel Error = 5.4062
Epoch 116: Loss = 0.0258, NME = 0.0010, Pixel Error = 1.1742, Val Loss = 0.4392, Val NME = 0.0048, Val Pixel Error = 5.4171
Epoch 117: Loss = 0.0272, NME = 0.0010, Pixel Error = 1.2070, Val Loss = 0.4438, Val NME = 0.0047, Val Pixel Error = 5.3999
Epoch 118: Loss = 0.0258, NME = 0.0010, Pixel Error = 1.1757, Val Loss = 0.4450, Val NME = 0.0048, Val Pixel Error = 5.4029
Epoch 119: Loss = 0.0258, NME = 0.0010, Pixel Error = 1.1833, Val Loss = 0.4293, Val NME = 0.0047, Val Pixel Error = 5.3283
Epoch 120: Loss = 0.0271, NME = 0.0010, Pixel Error = 1.2139, Val Loss = 0.4352, Val NME = 0.0047, Val Pixel Error = 5.3819
Epoch 121: Loss = 0.0255, NME = 0.0010, Pixel Error = 1.1755, Val Loss = 0.4378, Val NME = 0.0047, Val Pixel Error = 5.3899
Epoch 122: Loss = 0.0254, NME = 0.0010, Pixel Error = 1.1738, Val Loss = 0.4447, Val NME = 0.0048, Val Pixel Error = 5.4384
Epoch 123: Loss = 0.0246, NME = 0.0010, Pixel Error = 1.1481, Val Loss = 0.4561, Val NME = 0.0048, Val Pixel Error = 5.4805
Epoch 124: Loss = 0.0236, NME = 0.0010, Pixel Error = 1.1333, Val Loss = 0.4398, Val NME = 0.0047, Val Pixel Error = 5.3696
Epoch 125: Loss = 0.0243, NME = 0.0010, Pixel Error = 1.1475, Val Loss = 0.4471, Val NME = 0.0048, Val Pixel Error = 5.4009
Epoch 126: Loss = 0.0244, NME = 0.0010, Pixel Error = 1.1541, Val Loss = 0.4339, Val NME = 0.0047, Val Pixel Error = 5.3546
Epoch 127: Loss = 0.0243, NME = 0.0010, Pixel Error = 1.1484, Val Loss = 0.4440, Val NME = 0.0048, Val Pixel Error = 5.4169
Epoch 128: Loss = 0.0238, NME = 0.0010, Pixel Error = 1.1360, Val Loss = 0.4509, Val NME = 0.0048, Val Pixel Error = 5.4400
Epoch 129: Loss = 0.0235, NME = 0.0010, Pixel Error = 1.1285, Val Loss = 0.4464, Val NME = 0.0047, Val Pixel Error = 5.3830
Epoch 130: Loss = 0.0232, NME = 0.0010, Pixel Error = 1.1236, Val Loss = 0.4415, Val NME = 0.0048, Val Pixel Error = 5.4328
Epoch 131: Loss = 0.0227, NME = 0.0009, Pixel Error = 1.1059, Val Loss = 0.4394, Val NME = 0.0047, Val Pixel Error = 5.3931
Epoch 132: Loss = 0.0222, NME = 0.0009, Pixel Error = 1.0980, Val Loss = 0.4418, Val NME = 0.0048, Val Pixel Error = 5.3950
Epoch 133: Loss = 0.0233, NME = 0.0009, Pixel Error = 1.1114, Val Loss = 0.4421, Val NME = 0.0048, Val Pixel Error = 5.4188
Epoch 134: Loss = 0.0225, NME = 0.0009, Pixel Error = 1.1036, Val Loss = 0.4323, Val NME = 0.0047, Val Pixel Error = 5.3438
Epoch 135: Loss = 0.0225, NME = 0.0009, Pixel Error = 1.0950, Val Loss = 0.4416, Val NME = 0.0048, Val Pixel Error = 5.4069
Epoch 136: Loss = 0.0219, NME = 0.0009, Pixel Error = 1.0824, Val Loss = 0.4409, Val NME = 0.0047, Val Pixel Error = 5.3687
Epoch 137: Loss = 0.0222, NME = 0.0009, Pixel Error = 1.0958, Val Loss = 0.4310, Val NME = 0.0047, Val Pixel Error = 5.3372
Epoch 138: Loss = 0.0212, NME = 0.0009, Pixel Error = 1.0725, Val Loss = 0.4398, Val NME = 0.0047, Val Pixel Error = 5.3624
Epoch 139: Loss = 0.0212, NME = 0.0009, Pixel Error = 1.0685, Val Loss = 0.4426, Val NME = 0.0048, Val Pixel Error = 5.3966
Epoch 140: Loss = 0.0212, NME = 0.0009, Pixel Error = 1.0626, Val Loss = 0.4384, Val NME = 0.0047, Val Pixel Error = 5.3786
Epoch 141: Loss = 0.0214, NME = 0.0009, Pixel Error = 1.0725, Val Loss = 0.4456, Val NME = 0.0048, Val Pixel Error = 5.4551
Epoch 142: Loss = 0.0202, NME = 0.0009, Pixel Error = 1.0429, Val Loss = 0.4397, Val NME = 0.0047, Val Pixel Error = 5.3835
Epoch 143: Loss = 0.0206, NME = 0.0009, Pixel Error = 1.0514, Val Loss = 0.4314, Val NME = 0.0047, Val Pixel Error = 5.3437
Epoch 144: Loss = 0.0205, NME = 0.0009, Pixel Error = 1.0468, Val Loss = 0.4351, Val NME = 0.0047, Val Pixel Error = 5.3672
Epoch 145: Loss = 0.0202, NME = 0.0009, Pixel Error = 1.0377, Val Loss = 0.4443, Val NME = 0.0048, Val Pixel Error = 5.4038
Epoch 146: Loss = 0.0191, NME = 0.0009, Pixel Error = 1.0115, Val Loss = 0.4401, Val NME = 0.0047, Val Pixel Error = 5.3711
Epoch 147: Loss = 0.0193, NME = 0.0009, Pixel Error = 1.0155, Val Loss = 0.4354, Val NME = 0.0047, Val Pixel Error = 5.3435
Epoch 148: Loss = 0.0198, NME = 0.0009, Pixel Error = 1.0225, Val Loss = 0.4324, Val NME = 0.0047, Val Pixel Error = 5.3439
Epoch 149: Loss = 0.0195, NME = 0.0009, Pixel Error = 1.0175, Val Loss = 0.4424, Val NME = 0.0047, Val Pixel Error = 5.3617
Epoch 150: Loss = 0.0192, NME = 0.0009, Pixel Error = 1.0131, Val Loss = 0.4455, Val NME = 0.0048, Val Pixel Error = 5.4062
Epoch 151: Loss = 0.0190, NME = 0.0009, Pixel Error = 1.0066, Val Loss = 0.4482, Val NME = 0.0048, Val Pixel Error = 5.4295
Epoch 152: Loss = 0.0184, NME = 0.0008, Pixel Error = 0.9927, Val Loss = 0.4490, Val NME = 0.0048, Val Pixel Error = 5.4058
Epoch 153: Loss = 0.0191, NME = 0.0009, Pixel Error = 1.0059, Val Loss = 0.4348, Val NME = 0.0047, Val Pixel Error = 5.3454
Epoch 154: Loss = 0.0192, NME = 0.0009, Pixel Error = 1.0093, Val Loss = 0.4406, Val NME = 0.0048, Val Pixel Error = 5.4029
Epoch 155: Loss = 0.0182, NME = 0.0008, Pixel Error = 0.9881, Val Loss = 0.4503, Val NME = 0.0048, Val Pixel Error = 5.4460
Epoch 156: Loss = 0.0184, NME = 0.0008, Pixel Error = 0.9906, Val Loss = 0.4440, Val NME = 0.0047, Val Pixel Error = 5.3889
Epoch 157: Loss = 0.0179, NME = 0.0008, Pixel Error = 0.9746, Val Loss = 0.4390, Val NME = 0.0047, Val Pixel Error = 5.3880
Epoch 158: Loss = 0.0180, NME = 0.0008, Pixel Error = 0.9794, Val Loss = 0.4476, Val NME = 0.0048, Val Pixel Error = 5.4074
Epoch 159: Loss = 0.0184, NME = 0.0008, Pixel Error = 0.9871, Val Loss = 0.4411, Val NME = 0.0047, Val Pixel Error = 5.3900
Epoch 160: Loss = 0.0174, NME = 0.0008, Pixel Error = 0.9657, Val Loss = 0.4414, Val NME = 0.0047, Val Pixel Error = 5.3859
