Epoch 1: Loss = 8319.9748, NME = 0.0602, Pixel Error = 828.0343, Val Loss = 4092.6487, Val NME = 0.0409, Val Pixel Error = 586.0116
Epoch 2: Loss = 2044.0320, NME = 0.0275, Pixel Error = 377.1410, Val Loss = 467.7560, Val NME = 0.0129, Val Pixel Error = 180.9122
Epoch 3: Loss = 244.0083, NME = 0.0092, Pixel Error = 124.7328, Val Loss = 100.6964, Val NME = 0.0058, Val Pixel Error = 83.0205
Epoch 4: Loss = 99.6462, NME = 0.0058, Pixel Error = 79.7391, Val Loss = 46.7634, Val NME = 0.0041, Val Pixel Error = 58.7119
Epoch 5: Loss = 48.6973, NME = 0.0040, Pixel Error = 54.5703, Val Loss = 20.4876, Val NME = 0.0027, Val Pixel Error = 38.0856
Epoch 6: Loss = 23.9134, NME = 0.0028, Pixel Error = 37.0141, Val Loss = 10.0940, Val NME = 0.0019, Val Pixel Error = 25.0698
Epoch 7: Loss = 14.3065, NME = 0.0022, Pixel Error = 28.9784, Val Loss = 6.6802, Val NME = 0.0015, Val Pixel Error = 21.3306
Epoch 8: Loss = 10.2333, NME = 0.0018, Pixel Error = 24.6608, Val Loss = 5.7729, Val NME = 0.0015, Val Pixel Error = 20.6188
Epoch 9: Loss = 8.2656, NME = 0.0016, Pixel Error = 22.1229, Val Loss = 8.4215, Val NME = 0.0018, Val Pixel Error = 25.6229
Epoch 10: Loss = 6.4491, NME = 0.0015, Pixel Error = 19.6231, Val Loss = 5.8392, Val NME = 0.0015, Val Pixel Error = 20.8063
Epoch 11: Loss = 5.4218, NME = 0.0014, Pixel Error = 18.3860, Val Loss = 4.7675, Val NME = 0.0013, Val Pixel Error = 19.0538
Epoch 12: Loss = 4.6003, NME = 0.0012, Pixel Error = 16.6788, Val Loss = 4.0239, Val NME = 0.0012, Val Pixel Error = 17.4476
Epoch 13: Loss = 3.8704, NME = 0.0012, Pixel Error = 15.6540, Val Loss = 5.0845, Val NME = 0.0014, Val Pixel Error = 19.6292
Epoch 14: Loss = 3.5662, NME = 0.0011, Pixel Error = 15.2226, Val Loss = 5.1261, Val NME = 0.0014, Val Pixel Error = 19.0827
Epoch 15: Loss = 3.7559, NME = 0.0012, Pixel Error = 15.5771, Val Loss = 2.8569, Val NME = 0.0010, Val Pixel Error = 14.0737
Epoch 16: Loss = 3.0595, NME = 0.0011, Pixel Error = 14.0255, Val Loss = 3.0876, Val NME = 0.0011, Val Pixel Error = 15.0869
Epoch 17: Loss = 2.9270, NME = 0.0010, Pixel Error = 13.7564, Val Loss = 2.6422, Val NME = 0.0010, Val Pixel Error = 13.5048
Epoch 18: Loss = 3.1326, NME = 0.0011, Pixel Error = 14.3565, Val Loss = 2.8880, Val NME = 0.0010, Val Pixel Error = 14.9634
Epoch 19: Loss = 2.7246, NME = 0.0010, Pixel Error = 13.1696, Val Loss = 2.6580, Val NME = 0.0010, Val Pixel Error = 14.1546
Epoch 20: Loss = 2.3457, NME = 0.0009, Pixel Error = 12.6275, Val Loss = 3.1146, Val NME = 0.0011, Val Pixel Error = 15.4223
Epoch 21: Loss = 2.4895, NME = 0.0010, Pixel Error = 13.0227, Val Loss = 2.4746, Val NME = 0.0009, Val Pixel Error = 13.2845
Epoch 22: Loss = 2.1100, NME = 0.0009, Pixel Error = 12.0580, Val Loss = 2.3982, Val NME = 0.0009, Val Pixel Error = 12.9790
Epoch 23: Loss = 1.9382, NME = 0.0008, Pixel Error = 11.3041, Val Loss = 2.1480, Val NME = 0.0009, Val Pixel Error = 12.5145
Epoch 24: Loss = 1.7168, NME = 0.0008, Pixel Error = 10.9664, Val Loss = 3.0782, Val NME = 0.0011, Val Pixel Error = 14.5453
Epoch 25: Loss = 1.9211, NME = 0.0009, Pixel Error = 11.5638, Val Loss = 1.6644, Val NME = 0.0008, Val Pixel Error = 11.0308
Epoch 26: Loss = 1.5862, NME = 0.0008, Pixel Error = 10.3336, Val Loss = 1.7539, Val NME = 0.0008, Val Pixel Error = 11.3239
Epoch 27: Loss = 1.6472, NME = 0.0008, Pixel Error = 10.6499, Val Loss = 1.9683, Val NME = 0.0008, Val Pixel Error = 11.8185
Epoch 28: Loss = 1.4892, NME = 0.0008, Pixel Error = 10.1864, Val Loss = 2.1514, Val NME = 0.0009, Val Pixel Error = 12.8476
Epoch 29: Loss = 1.4809, NME = 0.0007, Pixel Error = 9.9656, Val Loss = 2.5781, Val NME = 0.0010, Val Pixel Error = 13.7689
Epoch 30: Loss = 1.6080, NME = 0.0008, Pixel Error = 10.2353, Val Loss = 1.9458, Val NME = 0.0008, Val Pixel Error = 11.9644
Epoch 31: Loss = 1.7699, NME = 0.0008, Pixel Error = 11.1404, Val Loss = 2.7070, Val NME = 0.0010, Val Pixel Error = 14.0661
Epoch 32: Loss = 1.4482, NME = 0.0007, Pixel Error = 10.0369, Val Loss = 1.7961, Val NME = 0.0008, Val Pixel Error = 11.3977
Epoch 33: Loss = 1.2614, NME = 0.0007, Pixel Error = 9.3721, Val Loss = 2.3352, Val NME = 0.0009, Val Pixel Error = 12.8877
Epoch 34: Loss = 1.4012, NME = 0.0007, Pixel Error = 9.9132, Val Loss = 2.7283, Val NME = 0.0010, Val Pixel Error = 14.6554
Epoch 35: Loss = 1.2535, NME = 0.0007, Pixel Error = 9.3996, Val Loss = 1.9525, Val NME = 0.0009, Val Pixel Error = 12.0885
Epoch 36: Loss = 1.1886, NME = 0.0007, Pixel Error = 9.1294, Val Loss = 1.4086, Val NME = 0.0007, Val Pixel Error = 9.9377
Epoch 37: Loss = 1.3928, NME = 0.0007, Pixel Error = 9.7304, Val Loss = 2.1460, Val NME = 0.0009, Val Pixel Error = 12.0964
Epoch 38: Loss = 1.1842, NME = 0.0007, Pixel Error = 9.0221, Val Loss = 1.5179, Val NME = 0.0007, Val Pixel Error = 10.5558
Epoch 39: Loss = 1.1011, NME = 0.0006, Pixel Error = 8.6801, Val Loss = 1.5708, Val NME = 0.0008, Val Pixel Error = 10.5153
Epoch 40: Loss = 1.2741, NME = 0.0007, Pixel Error = 8.9650, Val Loss = 2.3865, Val NME = 0.0009, Val Pixel Error = 13.3732
Epoch 41: Loss = 1.3708, NME = 0.0007, Pixel Error = 9.5785, Val Loss = 1.7685, Val NME = 0.0008, Val Pixel Error = 11.4681
Epoch 42: Loss = 1.1285, NME = 0.0007, Pixel Error = 8.8777, Val Loss = 1.2711, Val NME = 0.0007, Val Pixel Error = 9.4857
Epoch 43: Loss = 0.9883, NME = 0.0006, Pixel Error = 8.2896, Val Loss = 1.3899, Val NME = 0.0007, Val Pixel Error = 9.9878
Epoch 44: Loss = 0.9773, NME = 0.0006, Pixel Error = 8.2962, Val Loss = 1.3849, Val NME = 0.0007, Val Pixel Error = 9.9439
Epoch 45: Loss = 0.9921, NME = 0.0006, Pixel Error = 8.3090, Val Loss = 1.3539, Val NME = 0.0007, Val Pixel Error = 9.8318
Epoch 46: Loss = 0.9899, NME = 0.0006, Pixel Error = 8.3690, Val Loss = 1.4156, Val NME = 0.0007, Val Pixel Error = 10.1889
Epoch 47: Loss = 1.0389, NME = 0.0006, Pixel Error = 8.5103, Val Loss = 2.0613, Val NME = 0.0009, Val Pixel Error = 12.3052
Epoch 48: Loss = 0.9413, NME = 0.0006, Pixel Error = 8.1428, Val Loss = 1.4564, Val NME = 0.0007, Val Pixel Error = 10.2340
