Epoch 1: Loss = 11942.0628, NME = 0.0639, Pixel Error = 939.4109, Val Loss = 455957707756142100003576323506176.0000, Val NME = 11759305883648.0000, Val Pixel Error = 181595923206449824.0000
Epoch 2: Loss = 5542.2906, NME = 0.0433, Pixel Error = 633.9132, Val Loss = 3778202169258950805946368.0000, Val NME = 1256372096.0000, Val Pixel Error = 17881754258253.1445
Epoch 3: Loss = 1463.4811, NME = 0.0181, Pixel Error = 268.0149, Val Loss = 168818010306379776.0000, Val NME = 277607.4688, Val Pixel Error = 3879470488.2203
Epoch 4: Loss = 443.9023, NME = 0.0115, Pixel Error = 169.1697, Val Loss = 2940093440.0000, Val NME = 35.9884, Val Pixel Error = 511602.3526
Epoch 5: Loss = 305.7657, NME = 0.0103, Pixel Error = 150.7560, Val Loss = 2697535.1250, Val NME = 1.0793, Val Pixel Error = 15060.1804
Epoch 6: Loss = 217.0211, NME = 0.0087, Pixel Error = 129.0099, Val Loss = 12723.8281, Val NME = 0.0716, Val Pixel Error = 1000.6577
Epoch 7: Loss = 183.7714, NME = 0.0079, Pixel Error = 113.4678, Val Loss = 405.6974, Val NME = 0.0112, Val Pixel Error = 167.2439
Epoch 8: Loss = 208.7833, NME = 0.0084, Pixel Error = 120.0259, Val Loss = 315.5464, Val NME = 0.0100, Val Pixel Error = 154.6078
Epoch 9: Loss = 185.0906, NME = 0.0079, Pixel Error = 112.9315, Val Loss = 235.7247, Val NME = 0.0094, Val Pixel Error = 132.4511
Epoch 10: Loss = 210.2598, NME = 0.0082, Pixel Error = 120.0662, Val Loss = 632.8719, Val NME = 0.0160, Val Pixel Error = 222.9649
Epoch 11: Loss = 211.4418, NME = 0.0084, Pixel Error = 121.5534, Val Loss = 318.3437, Val NME = 0.0112, Val Pixel Error = 161.3379
Epoch 12: Loss = 178.5544, NME = 0.0078, Pixel Error = 111.7058, Val Loss = 213.5866, Val NME = 0.0087, Val Pixel Error = 129.2171
Epoch 13: Loss = 176.6956, NME = 0.0077, Pixel Error = 111.8335, Val Loss = 237.9830, Val NME = 0.0095, Val Pixel Error = 132.9481
