Epoch 1: Loss = 8475.6892, NME = 0.0607, Pixel Error = 835.5735, Val Loss = 4036.4866, Val NME = 0.0406, Val Pixel Error = 580.6200
Epoch 2: Loss = 1873.5703, NME = 0.0259, Pixel Error = 354.6572, Val Loss = 349.1476, Val NME = 0.0112, Val Pixel Error = 157.4214
Epoch 3: Loss = 188.8797, NME = 0.0081, Pixel Error = 110.3851, Val Loss = 88.2083, Val NME = 0.0054, Val Pixel Error = 78.7576
Epoch 4: Loss = 92.6055, NME = 0.0056, Pixel Error = 78.3590, Val Loss = 46.0299, Val NME = 0.0039, Val Pixel Error = 56.9027
Epoch 5: Loss = 46.3964, NME = 0.0040, Pixel Error = 54.5990, Val Loss = 24.9743, Val NME = 0.0030, Val Pixel Error = 41.9456
Epoch 6: Loss = 32.1754, NME = 0.0034, Pixel Error = 44.2511, Val Loss = 21.1001, Val NME = 0.0027, Val Pixel Error = 38.4912
Epoch 7: Loss = 20.7270, NME = 0.0027, Pixel Error = 35.5766, Val Loss = 13.5008, Val NME = 0.0022, Val Pixel Error = 30.3416
Epoch 8: Loss = 14.4232, NME = 0.0022, Pixel Error = 29.4293, Val Loss = 7.5894, Val NME = 0.0016, Val Pixel Error = 22.8861
Epoch 9: Loss = 12.0046, NME = 0.0020, Pixel Error = 27.7125, Val Loss = 7.1824, Val NME = 0.0016, Val Pixel Error = 22.6293
Epoch 10: Loss = 10.2881, NME = 0.0019, Pixel Error = 25.6012, Val Loss = 9.4711, Val NME = 0.0018, Val Pixel Error = 26.1988
Epoch 11: Loss = 8.4078, NME = 0.0017, Pixel Error = 23.2810, Val Loss = 7.6546, Val NME = 0.0017, Val Pixel Error = 24.0680
Epoch 12: Loss = 8.5058, NME = 0.0017, Pixel Error = 23.2526, Val Loss = 5.3126, Val NME = 0.0014, Val Pixel Error = 19.4259
Epoch 13: Loss = 7.7355, NME = 0.0016, Pixel Error = 22.2357, Val Loss = 5.1461, Val NME = 0.0013, Val Pixel Error = 19.0069
Epoch 14: Loss = 6.6437, NME = 0.0016, Pixel Error = 20.8366, Val Loss = 11.1090, Val NME = 0.0021, Val Pixel Error = 29.5570
Epoch 15: Loss = 6.5237, NME = 0.0015, Pixel Error = 20.9675, Val Loss = 10.3396, Val NME = 0.0020, Val Pixel Error = 28.8281
Epoch 16: Loss = 5.4938, NME = 0.0014, Pixel Error = 19.4031, Val Loss = 9.9759, Val NME = 0.0019, Val Pixel Error = 28.3068
Epoch 17: Loss = 4.9937, NME = 0.0014, Pixel Error = 18.4646, Val Loss = 7.1968, Val NME = 0.0017, Val Pixel Error = 23.5195
Epoch 18: Loss = 5.3638, NME = 0.0014, Pixel Error = 19.1391, Val Loss = 4.2173, Val NME = 0.0012, Val Pixel Error = 17.4520
Epoch 19: Loss = 5.1823, NME = 0.0014, Pixel Error = 18.7142, Val Loss = 4.6680, Val NME = 0.0013, Val Pixel Error = 18.2425
Epoch 20: Loss = 5.7774, NME = 0.0015, Pixel Error = 19.8456, Val Loss = 3.9940, Val NME = 0.0012, Val Pixel Error = 16.8419
Epoch 21: Loss = 5.3440, NME = 0.0014, Pixel Error = 19.3378, Val Loss = 9.5077, Val NME = 0.0019, Val Pixel Error = 26.1120
Epoch 22: Loss = 5.5640, NME = 0.0014, Pixel Error = 19.6456, Val Loss = 4.6043, Val NME = 0.0013, Val Pixel Error = 18.3161
Epoch 23: Loss = 4.1063, NME = 0.0013, Pixel Error = 16.8578, Val Loss = 4.6873, Val NME = 0.0013, Val Pixel Error = 18.2973
Epoch 24: Loss = 4.0572, NME = 0.0012, Pixel Error = 16.7866, Val Loss = 7.1957, Val NME = 0.0016, Val Pixel Error = 24.2168
Epoch 25: Loss = 3.6146, NME = 0.0011, Pixel Error = 15.6026, Val Loss = 4.2514, Val NME = 0.0012, Val Pixel Error = 17.4991
Epoch 26: Loss = 3.6774, NME = 0.0012, Pixel Error = 15.6978, Val Loss = 4.9771, Val NME = 0.0014, Val Pixel Error = 18.6155
Epoch 27: Loss = 4.5089, NME = 0.0013, Pixel Error = 17.8371, Val Loss = 4.9583, Val NME = 0.0013, Val Pixel Error = 20.0458
Epoch 28: Loss = 3.5716, NME = 0.0012, Pixel Error = 15.8618, Val Loss = 4.2273, Val NME = 0.0012, Val Pixel Error = 17.5297
Epoch 29: Loss = 5.1667, NME = 0.0014, Pixel Error = 19.0269, Val Loss = 8.4400, Val NME = 0.0018, Val Pixel Error = 27.1173
Epoch 30: Loss = 3.3227, NME = 0.0011, Pixel Error = 15.0997, Val Loss = 2.9709, Val NME = 0.0010, Val Pixel Error = 14.3271
Epoch 31: Loss = 2.7410, NME = 0.0010, Pixel Error = 13.8592, Val Loss = 2.8832, Val NME = 0.0010, Val Pixel Error = 14.2058
Epoch 32: Loss = 2.8296, NME = 0.0010, Pixel Error = 14.0028, Val Loss = 2.6888, Val NME = 0.0010, Val Pixel Error = 13.7425
Epoch 33: Loss = 2.5517, NME = 0.0010, Pixel Error = 13.0511, Val Loss = 3.7374, Val NME = 0.0012, Val Pixel Error = 16.5023
Epoch 34: Loss = 2.4929, NME = 0.0010, Pixel Error = 13.1271, Val Loss = 3.3511, Val NME = 0.0011, Val Pixel Error = 15.5725
Epoch 35: Loss = 2.7101, NME = 0.0010, Pixel Error = 13.5892, Val Loss = 3.0335, Val NME = 0.0010, Val Pixel Error = 14.2169
Epoch 36: Loss = 2.4754, NME = 0.0010, Pixel Error = 13.1099, Val Loss = 2.7854, Val NME = 0.0010, Val Pixel Error = 14.0556
Epoch 37: Loss = 2.3352, NME = 0.0009, Pixel Error = 12.5232, Val Loss = 3.6141, Val NME = 0.0011, Val Pixel Error = 16.7380
Epoch 38: Loss = 2.8126, NME = 0.0010, Pixel Error = 13.9800, Val Loss = 2.9574, Val NME = 0.0010, Val Pixel Error = 14.0446
Epoch 39: Loss = 2.2284, NME = 0.0009, Pixel Error = 12.4019, Val Loss = 2.7516, Val NME = 0.0010, Val Pixel Error = 14.3289
Epoch 40: Loss = 2.2758, NME = 0.0009, Pixel Error = 12.5883, Val Loss = 3.2465, Val NME = 0.0011, Val Pixel Error = 14.8451
Epoch 41: Loss = 2.3897, NME = 0.0010, Pixel Error = 12.8921, Val Loss = 3.7828, Val NME = 0.0012, Val Pixel Error = 16.1977
Epoch 42: Loss = 2.2809, NME = 0.0009, Pixel Error = 12.7894, Val Loss = 2.9259, Val NME = 0.0010, Val Pixel Error = 14.8001
Epoch 43: Loss = 1.8734, NME = 0.0008, Pixel Error = 11.4309, Val Loss = 3.0076, Val NME = 0.0011, Val Pixel Error = 14.6124
Epoch 44: Loss = 1.7208, NME = 0.0008, Pixel Error = 10.9712, Val Loss = 2.5960, Val NME = 0.0010, Val Pixel Error = 13.5851
Epoch 45: Loss = 1.8244, NME = 0.0008, Pixel Error = 11.3983, Val Loss = 2.3268, Val NME = 0.0009, Val Pixel Error = 12.8005
Epoch 46: Loss = 1.9490, NME = 0.0009, Pixel Error = 11.7551, Val Loss = 2.8822, Val NME = 0.0010, Val Pixel Error = 13.9243
Epoch 47: Loss = 1.6964, NME = 0.0008, Pixel Error = 10.7224, Val Loss = 2.4196, Val NME = 0.0009, Val Pixel Error = 13.1608
Epoch 48: Loss = 1.5749, NME = 0.0008, Pixel Error = 10.4878, Val Loss = 3.6630, Val NME = 0.0011, Val Pixel Error = 16.9685
Epoch 49: Loss = 1.6328, NME = 0.0008, Pixel Error = 10.6906, Val Loss = 2.4231, Val NME = 0.0009, Val Pixel Error = 13.3924
Epoch 50: Loss = 1.5080, NME = 0.0008, Pixel Error = 10.3476, Val Loss = 2.9027, Val NME = 0.0010, Val Pixel Error = 14.7649
Epoch 51: Loss = 1.9207, NME = 0.0008, Pixel Error = 11.3892, Val Loss = 3.1463, Val NME = 0.0011, Val Pixel Error = 15.0059
Epoch 52: Loss = 1.4667, NME = 0.0007, Pixel Error = 10.1988, Val Loss = 2.7913, Val NME = 0.0010, Val Pixel Error = 14.4801
Epoch 53: Loss = 1.6882, NME = 0.0008, Pixel Error = 10.8453, Val Loss = 2.5743, Val NME = 0.0010, Val Pixel Error = 13.5216
Epoch 54: Loss = 1.5227, NME = 0.0008, Pixel Error = 10.5288, Val Loss = 2.1219, Val NME = 0.0009, Val Pixel Error = 12.4782
Epoch 55: Loss = 1.5087, NME = 0.0008, Pixel Error = 10.4035, Val Loss = 2.2700, Val NME = 0.0009, Val Pixel Error = 12.7724
Epoch 56: Loss = 1.3421, NME = 0.0007, Pixel Error = 9.6874, Val Loss = 3.0870, Val NME = 0.0011, Val Pixel Error = 14.8745
Epoch 57: Loss = 1.1444, NME = 0.0007, Pixel Error = 8.9841, Val Loss = 3.2126, Val NME = 0.0011, Val Pixel Error = 14.8237
Epoch 58: Loss = 1.4791, NME = 0.0007, Pixel Error = 10.0034, Val Loss = 2.3345, Val NME = 0.0009, Val Pixel Error = 12.7112
Epoch 59: Loss = 1.2275, NME = 0.0007, Pixel Error = 9.2549, Val Loss = 2.6633, Val NME = 0.0010, Val Pixel Error = 13.3496
Epoch 60: Loss = 1.3213, NME = 0.0007, Pixel Error = 9.6926, Val Loss = 2.2442, Val NME = 0.0009, Val Pixel Error = 12.7404
Epoch 61: Loss = 1.3632, NME = 0.0007, Pixel Error = 9.8366, Val Loss = 2.5801, Val NME = 0.0010, Val Pixel Error = 13.3313
Epoch 62: Loss = 1.1420, NME = 0.0007, Pixel Error = 8.9298, Val Loss = 2.0659, Val NME = 0.0009, Val Pixel Error = 12.0376
Epoch 63: Loss = 1.2941, NME = 0.0007, Pixel Error = 9.5453, Val Loss = 2.1123, Val NME = 0.0009, Val Pixel Error = 12.2183
Epoch 64: Loss = 1.1798, NME = 0.0007, Pixel Error = 9.1470, Val Loss = 2.5315, Val NME = 0.0010, Val Pixel Error = 13.5068
Epoch 65: Loss = 1.0750, NME = 0.0007, Pixel Error = 8.8189, Val Loss = 2.5218, Val NME = 0.0009, Val Pixel Error = 13.8979
Epoch 66: Loss = 1.0294, NME = 0.0006, Pixel Error = 8.6038, Val Loss = 2.1934, Val NME = 0.0009, Val Pixel Error = 12.6929
Epoch 67: Loss = 1.2687, NME = 0.0007, Pixel Error = 9.5162, Val Loss = 2.6215, Val NME = 0.0010, Val Pixel Error = 14.2046
Epoch 68: Loss = 1.2294, NME = 0.0007, Pixel Error = 9.3050, Val Loss = 2.3793, Val NME = 0.0009, Val Pixel Error = 13.5815
Epoch 69: Loss = 1.2083, NME = 0.0007, Pixel Error = 9.1963, Val Loss = 2.0436, Val NME = 0.0009, Val Pixel Error = 12.2640
Epoch 70: Loss = 1.2935, NME = 0.0007, Pixel Error = 9.6716, Val Loss = 2.8187, Val NME = 0.0010, Val Pixel Error = 14.6865
Epoch 71: Loss = 1.1831, NME = 0.0007, Pixel Error = 9.1979, Val Loss = 2.2523, Val NME = 0.0009, Val Pixel Error = 13.0422
Epoch 72: Loss = 1.0887, NME = 0.0006, Pixel Error = 8.6745, Val Loss = 2.3151, Val NME = 0.0009, Val Pixel Error = 13.0134
Epoch 73: Loss = 1.0700, NME = 0.0007, Pixel Error = 8.8159, Val Loss = 3.0824, Val NME = 0.0010, Val Pixel Error = 15.0695
Epoch 74: Loss = 1.0546, NME = 0.0006, Pixel Error = 8.6457, Val Loss = 2.3361, Val NME = 0.0009, Val Pixel Error = 12.7028
Epoch 75: Loss = 0.9725, NME = 0.0006, Pixel Error = 8.3384, Val Loss = 2.5084, Val NME = 0.0010, Val Pixel Error = 13.1924
Epoch 76: Loss = 0.9828, NME = 0.0006, Pixel Error = 8.3909, Val Loss = 1.8906, Val NME = 0.0008, Val Pixel Error = 11.5571
Epoch 77: Loss = 0.9352, NME = 0.0006, Pixel Error = 8.1839, Val Loss = 1.9290, Val NME = 0.0008, Val Pixel Error = 11.6582
Epoch 78: Loss = 0.8342, NME = 0.0006, Pixel Error = 7.7023, Val Loss = 1.9753, Val NME = 0.0009, Val Pixel Error = 11.9680
Epoch 79: Loss = 0.9792, NME = 0.0006, Pixel Error = 8.3852, Val Loss = 2.0772, Val NME = 0.0009, Val Pixel Error = 12.1011
Epoch 80: Loss = 1.0092, NME = 0.0006, Pixel Error = 8.3815, Val Loss = 2.1169, Val NME = 0.0009, Val Pixel Error = 12.2258
Epoch 81: Loss = 1.0848, NME = 0.0006, Pixel Error = 8.5974, Val Loss = 2.2216, Val NME = 0.0009, Val Pixel Error = 12.8172
Epoch 82: Loss = 1.0052, NME = 0.0006, Pixel Error = 8.4744, Val Loss = 2.2624, Val NME = 0.0009, Val Pixel Error = 12.7893
Epoch 83: Loss = 0.8984, NME = 0.0006, Pixel Error = 8.0332, Val Loss = 1.9219, Val NME = 0.0008, Val Pixel Error = 11.8197
Epoch 84: Loss = 0.8217, NME = 0.0006, Pixel Error = 7.6969, Val Loss = 2.3565, Val NME = 0.0009, Val Pixel Error = 12.7221
Epoch 85: Loss = 1.0323, NME = 0.0006, Pixel Error = 8.5476, Val Loss = 1.8117, Val NME = 0.0008, Val Pixel Error = 11.4349
Epoch 86: Loss = 0.9086, NME = 0.0006, Pixel Error = 7.8359, Val Loss = 1.8857, Val NME = 0.0008, Val Pixel Error = 11.5599
Epoch 87: Loss = 0.7578, NME = 0.0005, Pixel Error = 7.3968, Val Loss = 1.7634, Val NME = 0.0008, Val Pixel Error = 11.0854
Epoch 88: Loss = 0.9149, NME = 0.0006, Pixel Error = 8.1758, Val Loss = 2.2032, Val NME = 0.0009, Val Pixel Error = 12.7923
Epoch 89: Loss = 0.8138, NME = 0.0006, Pixel Error = 7.5240, Val Loss = 1.8992, Val NME = 0.0008, Val Pixel Error = 11.5999
Epoch 90: Loss = 0.8628, NME = 0.0006, Pixel Error = 7.8450, Val Loss = 2.1879, Val NME = 0.0009, Val Pixel Error = 12.4837
Epoch 91: Loss = 0.9056, NME = 0.0006, Pixel Error = 7.8959, Val Loss = 1.9129, Val NME = 0.0009, Val Pixel Error = 11.8377
Epoch 92: Loss = 0.8775, NME = 0.0006, Pixel Error = 7.7328, Val Loss = 1.9217, Val NME = 0.0008, Val Pixel Error = 11.9049
Epoch 93: Loss = 0.8711, NME = 0.0006, Pixel Error = 7.7766, Val Loss = 1.6596, Val NME = 0.0008, Val Pixel Error = 10.7601
