Epoch 1: Loss = 897.2582, NME = 0.0139, Pixel Error = 187.5428, Val Loss = 51.0191, Val NME = 0.0044, Val Pixel Error = 62.1601
Epoch 2: Loss = 47.4445, NME = 0.0041, Pixel Error = 55.6528, Val Loss = 16.0602, Val NME = 0.0024, Val Pixel Error = 36.1840
Epoch 3: Loss = 16.0782, NME = 0.0024, Pixel Error = 33.3288, Val Loss = 39.9881, Val NME = 0.0040, Val Pixel Error = 57.4647
Epoch 4: Loss = 11.0706, NME = 0.0020, Pixel Error = 27.6669, Val Loss = 28.3249, Val NME = 0.0035, Val Pixel Error = 52.4769
Epoch 5: Loss = 8.4435, NME = 0.0018, Pixel Error = 24.6682, Val Loss = 18.6893, Val NME = 0.0027, Val Pixel Error = 41.3045
Epoch 6: Loss = 8.6021, NME = 0.0018, Pixel Error = 24.8042, Val Loss = 37.3005, Val NME = 0.0040, Val Pixel Error = 58.5590
Epoch 7: Loss = 7.5322, NME = 0.0017, Pixel Error = 23.2663, Val Loss = 11.0709, Val NME = 0.0020, Val Pixel Error = 29.6679
Epoch 8: Loss = 5.6071, NME = 0.0015, Pixel Error = 20.2185, Val Loss = 17.6719, Val NME = 0.0025, Val Pixel Error = 36.8094
Epoch 9: Loss = 5.5172, NME = 0.0014, Pixel Error = 20.0054, Val Loss = 15.4944, Val NME = 0.0025, Val Pixel Error = 36.8950
Epoch 10: Loss = 6.3488, NME = 0.0016, Pixel Error = 21.4666, Val Loss = 32.8070, Val NME = 0.0037, Val Pixel Error = 53.4930
Epoch 11: Loss = 5.0170, NME = 0.0014, Pixel Error = 19.1070, Val Loss = 21.1572, Val NME = 0.0029, Val Pixel Error = 40.9296
Epoch 12: Loss = 5.5556, NME = 0.0015, Pixel Error = 19.9739, Val Loss = 11.2007, Val NME = 0.0021, Val Pixel Error = 32.3406
Epoch 13: Loss = 4.9855, NME = 0.0014, Pixel Error = 18.7930, Val Loss = 10.9070, Val NME = 0.0021, Val Pixel Error = 30.1282
Epoch 14: Loss = 4.3809, NME = 0.0013, Pixel Error = 17.6692, Val Loss = 37.0503, Val NME = 0.0040, Val Pixel Error = 56.7729
