Epoch 1: Loss = 1120.4567, NME = 0.0151, Pixel Error = 207.5752, Val Loss = 69.9875, Val NME = 0.0049, Val Pixel Error = 72.3506
Epoch 2: Loss = 65.9215, NME = 0.0049, Pixel Error = 66.8863, Val Loss = 71.1804, Val NME = 0.0050, Val Pixel Error = 70.4797
Epoch 3: Loss = 37.1667, NME = 0.0037, Pixel Error = 50.5230, Val Loss = 41.6079, Val NME = 0.0041, Val Pixel Error = 53.9506
Epoch 4: Loss = 19.4237, NME = 0.0027, Pixel Error = 37.4915, Val Loss = 19.8407, Val NME = 0.0028, Val Pixel Error = 40.0835
Epoch 5: Loss = 16.7515, NME = 0.0025, Pixel Error = 34.8288, Val Loss = 39.0178, Val NME = 0.0038, Val Pixel Error = 55.3121
Epoch 6: Loss = 13.2905, NME = 0.0022, Pixel Error = 30.6694, Val Loss = 70.7874, Val NME = 0.0055, Val Pixel Error = 78.0616
Epoch 7: Loss = 14.0233, NME = 0.0023, Pixel Error = 31.2074, Val Loss = 17.1277, Val NME = 0.0026, Val Pixel Error = 38.8778
Epoch 8: Loss = 9.8336, NME = 0.0019, Pixel Error = 26.4050, Val Loss = 23.3125, Val NME = 0.0031, Val Pixel Error = 44.9861
Epoch 9: Loss = 9.6339, NME = 0.0019, Pixel Error = 25.8892, Val Loss = 18.2538, Val NME = 0.0027, Val Pixel Error = 38.4706
Epoch 10: Loss = 10.6680, NME = 0.0020, Pixel Error = 27.6320, Val Loss = 60.1463, Val NME = 0.0050, Val Pixel Error = 70.3795
Epoch 11: Loss = 7.8488, NME = 0.0017, Pixel Error = 23.2682, Val Loss = 33.5926, Val NME = 0.0038, Val Pixel Error = 56.2377
Epoch 12: Loss = 6.4954, NME = 0.0016, Pixel Error = 21.6290, Val Loss = 29.6964, Val NME = 0.0035, Val Pixel Error = 51.6838
Epoch 13: Loss = 6.1128, NME = 0.0015, Pixel Error = 21.3214, Val Loss = 28.2003, Val NME = 0.0033, Val Pixel Error = 49.2687
