Epoch 1: Loss = 4.0716, NME = 0.0653, Pixel Error = 76.1525, Val Loss = 3.0354, Val NME = 0.0490, Val Pixel Error = 55.2495
Epoch 2: Loss = 2.5171, NME = 0.0348, Pixel Error = 40.6009, Val Loss = 1.8957, Val NME = 0.0209, Val Pixel Error = 23.7073
Epoch 3: Loss = 2.1030, NME = 0.0229, Pixel Error = 26.9206, Val Loss = 1.7872, Val NME = 0.0165, Val Pixel Error = 18.9261
Epoch 4: Loss = 2.0043, NME = 0.0213, Pixel Error = 25.0081, Val Loss = 1.7427, Val NME = 0.0156, Val Pixel Error = 17.9053
Epoch 5: Loss = 1.8107, NME = 0.0172, Pixel Error = 20.0810, Val Loss = 1.4349, Val NME = 0.0112, Val Pixel Error = 12.8373
Epoch 6: Loss = 1.4257, NME = 0.0111, Pixel Error = 12.9811, Val Loss = 1.1107, Val NME = 0.0081, Val Pixel Error = 9.3077
Epoch 7: Loss = 1.1561, NME = 0.0086, Pixel Error = 10.0026, Val Loss = 0.9742, Val NME = 0.0072, Val Pixel Error = 8.1889
Epoch 8: Loss = 1.0131, NME = 0.0074, Pixel Error = 8.5889, Val Loss = 0.9170, Val NME = 0.0068, Val Pixel Error = 7.7247
Epoch 9: Loss = 0.8995, NME = 0.0065, Pixel Error = 7.5375, Val Loss = 0.7970, Val NME = 0.0059, Val Pixel Error = 6.6456
Epoch 10: Loss = 0.8210, NME = 0.0060, Pixel Error = 6.9299, Val Loss = 0.8140, Val NME = 0.0060, Val Pixel Error = 6.7379
Epoch 11: Loss = 0.7731, NME = 0.0056, Pixel Error = 6.4684, Val Loss = 0.7822, Val NME = 0.0059, Val Pixel Error = 6.7357
Epoch 12: Loss = 0.7243, NME = 0.0053, Pixel Error = 6.1294, Val Loss = 0.7318, Val NME = 0.0054, Val Pixel Error = 6.1208
Epoch 13: Loss = 0.6845, NME = 0.0050, Pixel Error = 5.8143, Val Loss = 0.7142, Val NME = 0.0053, Val Pixel Error = 6.0062
Epoch 14: Loss = 0.6436, NME = 0.0047, Pixel Error = 5.4656, Val Loss = 0.7568, Val NME = 0.0054, Val Pixel Error = 6.1026
Epoch 15: Loss = 0.6063, NME = 0.0045, Pixel Error = 5.2124, Val Loss = 0.7838, Val NME = 0.0057, Val Pixel Error = 6.4927
Epoch 16: Loss = 0.5832, NME = 0.0043, Pixel Error = 5.0322, Val Loss = 0.7155, Val NME = 0.0051, Val Pixel Error = 5.8309
Epoch 17: Loss = 0.5530, NME = 0.0042, Pixel Error = 4.8500, Val Loss = 0.7563, Val NME = 0.0054, Val Pixel Error = 6.1273
Epoch 18: Loss = 0.5274, NME = 0.0040, Pixel Error = 4.7101, Val Loss = 0.7676, Val NME = 0.0053, Val Pixel Error = 5.9953
Epoch 19: Loss = 0.4993, NME = 0.0038, Pixel Error = 4.4429, Val Loss = 0.7954, Val NME = 0.0054, Val Pixel Error = 6.1750
Epoch 20: Loss = 0.4792, NME = 0.0037, Pixel Error = 4.3284, Val Loss = 0.7580, Val NME = 0.0052, Val Pixel Error = 5.9613
Epoch 21: Loss = 0.4524, NME = 0.0035, Pixel Error = 4.1308, Val Loss = 0.7845, Val NME = 0.0052, Val Pixel Error = 5.9574
Epoch 22: Loss = 0.4332, NME = 0.0034, Pixel Error = 4.0397, Val Loss = 0.7917, Val NME = 0.0053, Val Pixel Error = 6.0301
Epoch 23: Loss = 0.4105, NME = 0.0033, Pixel Error = 3.8557, Val Loss = 0.7505, Val NME = 0.0049, Val Pixel Error = 5.5879
Epoch 24: Loss = 0.3828, NME = 0.0031, Pixel Error = 3.6428, Val Loss = 0.8129, Val NME = 0.0052, Val Pixel Error = 5.9566
Epoch 25: Loss = 0.3707, NME = 0.0030, Pixel Error = 3.5523, Val Loss = 0.7848, Val NME = 0.0050, Val Pixel Error = 5.6697
Epoch 26: Loss = 0.3567, NME = 0.0030, Pixel Error = 3.4728, Val Loss = 0.8418, Val NME = 0.0051, Val Pixel Error = 5.8253
Epoch 27: Loss = 0.3393, NME = 0.0029, Pixel Error = 3.3403, Val Loss = 0.8315, Val NME = 0.0051, Val Pixel Error = 5.7927
Epoch 28: Loss = 0.3254, NME = 0.0028, Pixel Error = 3.2506, Val Loss = 0.8365, Val NME = 0.0051, Val Pixel Error = 5.8522
Epoch 29: Loss = 0.3106, NME = 0.0027, Pixel Error = 3.1447, Val Loss = 0.8698, Val NME = 0.0051, Val Pixel Error = 5.8325
Epoch 30: Loss = 0.2966, NME = 0.0026, Pixel Error = 3.0516, Val Loss = 0.8253, Val NME = 0.0050, Val Pixel Error = 5.6463
Epoch 31: Loss = 0.2899, NME = 0.0026, Pixel Error = 3.0028, Val Loss = 0.9080, Val NME = 0.0053, Val Pixel Error = 5.9587
Epoch 32: Loss = 0.2874, NME = 0.0026, Pixel Error = 3.0046, Val Loss = 0.8683, Val NME = 0.0050, Val Pixel Error = 5.7195
Epoch 33: Loss = 0.2693, NME = 0.0024, Pixel Error = 2.8420, Val Loss = 0.9080, Val NME = 0.0050, Val Pixel Error = 5.7200
Epoch 34: Loss = 0.2577, NME = 0.0023, Pixel Error = 2.7542, Val Loss = 0.8709, Val NME = 0.0049, Val Pixel Error = 5.5734
Epoch 35: Loss = 0.2515, NME = 0.0023, Pixel Error = 2.7260, Val Loss = 1.0177, Val NME = 0.0053, Val Pixel Error = 6.0021
Epoch 36: Loss = 0.2406, NME = 0.0023, Pixel Error = 2.6480, Val Loss = 0.9592, Val NME = 0.0052, Val Pixel Error = 5.8849
Epoch 37: Loss = 0.2389, NME = 0.0023, Pixel Error = 2.6498, Val Loss = 0.9337, Val NME = 0.0050, Val Pixel Error = 5.7112
Epoch 38: Loss = 0.2251, NME = 0.0022, Pixel Error = 2.5225, Val Loss = 0.9595, Val NME = 0.0051, Val Pixel Error = 5.7511
Epoch 39: Loss = 0.2273, NME = 0.0022, Pixel Error = 2.5543, Val Loss = 0.9076, Val NME = 0.0049, Val Pixel Error = 5.6053
Epoch 40: Loss = 0.2148, NME = 0.0021, Pixel Error = 2.4563, Val Loss = 0.9253, Val NME = 0.0050, Val Pixel Error = 5.7111
Epoch 41: Loss = 0.2088, NME = 0.0021, Pixel Error = 2.4218, Val Loss = 0.9500, Val NME = 0.0050, Val Pixel Error = 5.6587
Epoch 42: Loss = 0.2057, NME = 0.0020, Pixel Error = 2.3970, Val Loss = 1.0183, Val NME = 0.0051, Val Pixel Error = 5.8066
Epoch 43: Loss = 0.2002, NME = 0.0020, Pixel Error = 2.3565, Val Loss = 0.9836, Val NME = 0.0050, Val Pixel Error = 5.6475
Epoch 44: Loss = 0.1919, NME = 0.0019, Pixel Error = 2.2780, Val Loss = 0.9312, Val NME = 0.0049, Val Pixel Error = 5.5538
Epoch 45: Loss = 0.1879, NME = 0.0019, Pixel Error = 2.2805, Val Loss = 1.0332, Val NME = 0.0050, Val Pixel Error = 5.7280
