Epoch 1: Loss = 4.8056, NME = 0.0775, Pixel Error = 90.3815, Val Loss = 3.5421, Val NME = 0.0552, Val Pixel Error = 62.3365
Epoch 2: Loss = 3.0049, NME = 0.0388, Pixel Error = 45.0478, Val Loss = 2.3353, Val NME = 0.0208, Val Pixel Error = 23.4275
Epoch 3: Loss = 2.4994, NME = 0.0232, Pixel Error = 27.0638, Val Loss = 2.1573, Val NME = 0.0160, Val Pixel Error = 18.2472
Epoch 4: Loss = 2.3557, NME = 0.0204, Pixel Error = 23.8586, Val Loss = 2.0952, Val NME = 0.0148, Val Pixel Error = 16.9563
Epoch 5: Loss = 2.1303, NME = 0.0157, Pixel Error = 18.3357, Val Loss = 1.7874, Val NME = 0.0107, Val Pixel Error = 12.2106
Epoch 6: Loss = 1.7586, NME = 0.0105, Pixel Error = 12.2008, Val Loss = 1.4469, Val NME = 0.0073, Val Pixel Error = 8.2723
Epoch 7: Loss = 1.4882, NME = 0.0080, Pixel Error = 9.3503, Val Loss = 1.3058, Val NME = 0.0064, Val Pixel Error = 7.2870
Epoch 8: Loss = 1.3397, NME = 0.0069, Pixel Error = 8.0966, Val Loss = 1.2082, Val NME = 0.0065, Val Pixel Error = 7.3688
Epoch 9: Loss = 1.2441, NME = 0.0063, Pixel Error = 7.3665, Val Loss = 1.1589, Val NME = 0.0061, Val Pixel Error = 6.8811
Epoch 10: Loss = 1.1650, NME = 0.0059, Pixel Error = 6.8797, Val Loss = 1.0883, Val NME = 0.0056, Val Pixel Error = 6.3669
Epoch 11: Loss = 1.1074, NME = 0.0055, Pixel Error = 6.4240, Val Loss = 1.0637, Val NME = 0.0055, Val Pixel Error = 6.3187
Epoch 12: Loss = 1.0623, NME = 0.0053, Pixel Error = 6.1613, Val Loss = 1.0549, Val NME = 0.0055, Val Pixel Error = 6.2136
Epoch 13: Loss = 1.0067, NME = 0.0049, Pixel Error = 5.7501, Val Loss = 1.1226, Val NME = 0.0058, Val Pixel Error = 6.6133
Epoch 14: Loss = 0.9701, NME = 0.0047, Pixel Error = 5.4878, Val Loss = 1.0595, Val NME = 0.0054, Val Pixel Error = 6.1852
Epoch 15: Loss = 0.9378, NME = 0.0046, Pixel Error = 5.3373, Val Loss = 1.0474, Val NME = 0.0052, Val Pixel Error = 5.9307
Epoch 16: Loss = 0.9052, NME = 0.0044, Pixel Error = 5.1443, Val Loss = 1.0690, Val NME = 0.0053, Val Pixel Error = 5.9903
Epoch 17: Loss = 0.8725, NME = 0.0042, Pixel Error = 4.9331, Val Loss = 1.0362, Val NME = 0.0050, Val Pixel Error = 5.6880
Epoch 18: Loss = 0.8381, NME = 0.0041, Pixel Error = 4.7380, Val Loss = 1.0640, Val NME = 0.0052, Val Pixel Error = 5.9424
Epoch 19: Loss = 0.8140, NME = 0.0039, Pixel Error = 4.5852, Val Loss = 1.0560, Val NME = 0.0051, Val Pixel Error = 5.8532
Epoch 20: Loss = 0.7978, NME = 0.0039, Pixel Error = 4.5050, Val Loss = 1.0862, Val NME = 0.0053, Val Pixel Error = 6.0680
Epoch 21: Loss = 0.7529, NME = 0.0036, Pixel Error = 4.2166, Val Loss = 1.0731, Val NME = 0.0050, Val Pixel Error = 5.7485
Epoch 22: Loss = 0.7362, NME = 0.0036, Pixel Error = 4.1565, Val Loss = 1.1187, Val NME = 0.0052, Val Pixel Error = 5.9799
Epoch 23: Loss = 0.7075, NME = 0.0035, Pixel Error = 4.0384, Val Loss = 1.1789, Val NME = 0.0053, Val Pixel Error = 6.0477
Epoch 24: Loss = 0.6732, NME = 0.0033, Pixel Error = 3.8489, Val Loss = 1.2609, Val NME = 0.0054, Val Pixel Error = 6.1495
Epoch 25: Loss = 0.6545, NME = 0.0032, Pixel Error = 3.7555, Val Loss = 1.2791, Val NME = 0.0054, Val Pixel Error = 6.1231
Epoch 26: Loss = 0.6257, NME = 0.0031, Pixel Error = 3.6054, Val Loss = 1.2889, Val NME = 0.0053, Val Pixel Error = 6.0546
Epoch 27: Loss = 0.5928, NME = 0.0029, Pixel Error = 3.4208, Val Loss = 1.2554, Val NME = 0.0055, Val Pixel Error = 6.3000
Epoch 28: Loss = 0.5944, NME = 0.0029, Pixel Error = 3.4469, Val Loss = 1.3221, Val NME = 0.0054, Val Pixel Error = 6.1917
Epoch 29: Loss = 0.5645, NME = 0.0028, Pixel Error = 3.2757, Val Loss = 1.2515, Val NME = 0.0052, Val Pixel Error = 5.9110
Epoch 30: Loss = 0.5435, NME = 0.0027, Pixel Error = 3.1721, Val Loss = 1.4692, Val NME = 0.0055, Val Pixel Error = 6.2860
