Epoch 1: Loss = 1971.3403, NME = 0.0209, Pixel Error = 289.2280, Val Loss = 95.0246, Val NME = 0.0058, Val Pixel Error = 83.6679
Epoch 2: Loss = 54.3391, NME = 0.0043, Pixel Error = 59.4406, Val Loss = 39.7841, Val NME = 0.0037, Val Pixel Error = 56.5089
Epoch 3: Loss = 25.0834, NME = 0.0031, Pixel Error = 41.2631, Val Loss = 61.9239, Val NME = 0.0051, Val Pixel Error = 70.7205
Epoch 4: Loss = 15.4135, NME = 0.0024, Pixel Error = 32.1742, Val Loss = 15.4338, Val NME = 0.0025, Val Pixel Error = 35.9318
Epoch 5: Loss = 10.9345, NME = 0.0020, Pixel Error = 27.2153, Val Loss = 23.6325, Val NME = 0.0030, Val Pixel Error = 44.4222
Epoch 6: Loss = 8.7327, NME = 0.0018, Pixel Error = 24.5927, Val Loss = 10.9968, Val NME = 0.0020, Val Pixel Error = 27.9255
Epoch 7: Loss = 7.0007, NME = 0.0016, Pixel Error = 22.3467, Val Loss = 35.7211, Val NME = 0.0039, Val Pixel Error = 55.4497
Epoch 8: Loss = 7.7551, NME = 0.0017, Pixel Error = 23.8574, Val Loss = 13.0012, Val NME = 0.0022, Val Pixel Error = 32.1910
Epoch 9: Loss = 6.3161, NME = 0.0016, Pixel Error = 21.2346, Val Loss = 30.5873, Val NME = 0.0036, Val Pixel Error = 51.9596
Epoch 10: Loss = 5.6500, NME = 0.0015, Pixel Error = 20.3490, Val Loss = 26.5878, Val NME = 0.0034, Val Pixel Error = 49.5037
Epoch 11: Loss = 5.7719, NME = 0.0015, Pixel Error = 20.2704, Val Loss = 33.7804, Val NME = 0.0037, Val Pixel Error = 54.6919
Epoch 12: Loss = 5.3309, NME = 0.0014, Pixel Error = 19.4025, Val Loss = 23.1378, Val NME = 0.0031, Val Pixel Error = 45.5394
Epoch 13: Loss = 4.8299, NME = 0.0014, Pixel Error = 18.9027, Val Loss = 32.4832, Val NME = 0.0036, Val Pixel Error = 53.6021
Epoch 14: Loss = 5.1111, NME = 0.0014, Pixel Error = 19.4823, Val Loss = 22.8933, Val NME = 0.0031, Val Pixel Error = 47.2658
Epoch 15: Loss = 4.2106, NME = 0.0013, Pixel Error = 17.2371, Val Loss = 27.5193, Val NME = 0.0034, Val Pixel Error = 49.5026
Epoch 16: Loss = 4.1367, NME = 0.0013, Pixel Error = 17.4097, Val Loss = 14.1552, Val NME = 0.0024, Val Pixel Error = 34.4168
Epoch 17: Loss = 3.9518, NME = 0.0012, Pixel Error = 16.9328, Val Loss = 17.7981, Val NME = 0.0027, Val Pixel Error = 39.7176
Epoch 18: Loss = 6.6019, NME = 0.0016, Pixel Error = 21.4426, Val Loss = 13.3195, Val NME = 0.0023, Val Pixel Error = 35.2926
Epoch 19: Loss = 4.3685, NME = 0.0013, Pixel Error = 17.6526, Val Loss = 28.3695, Val NME = 0.0035, Val Pixel Error = 50.3017
Epoch 20: Loss = 3.5765, NME = 0.0011, Pixel Error = 15.7231, Val Loss = 21.6903, Val NME = 0.0029, Val Pixel Error = 44.1673
Epoch 21: Loss = 4.7927, NME = 0.0013, Pixel Error = 18.4638, Val Loss = 29.4803, Val NME = 0.0036, Val Pixel Error = 51.4393
Epoch 22: Loss = 3.0481, NME = 0.0011, Pixel Error = 14.7779, Val Loss = 26.5342, Val NME = 0.0033, Val Pixel Error = 47.8083
