epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9126,1.77207,3.26683,1.69099,0.60314,0.05352,0.22801,0.14058,1.56863,2.93,1.47733,0.000545744,0.000545744,0.000545744
2,18.737,1.09163,1.82406,1.09112,0.48304,0.95536,0.53086,0.40647,0.87944,1.4597,0.95143,0.00109778,0.00109778,0.00109778
3,28.7572,0.96318,1.6141,1.03476,0.56496,0.79464,0.65541,0.50357,0.86343,1.35744,0.91899,0.00164614,0.00164614,0.00164614
4,38.8209,0.86966,1.4727,0.97611,0.50068,0.93763,0.53199,0.41075,0.82336,1.32612,0.92079,0.0016505,0.0016505,0.0016505
5,47.1351,0.83065,1.38411,0.96644,0.48474,0.91964,0.57769,0.47123,0.72642,1.24858,0.88967,0.001645,0.001645,0.001645
6,57.4677,0.79289,1.30063,0.94997,0.49679,0.99107,0.52411,0.45037,0.63372,1.07806,0.85617,0.00163949,0.00163949,0.00163949
7,67.5902,0.79263,1.21953,0.94398,0.49881,0.99107,0.51307,0.43329,0.62417,1.09633,0.8669,0.00163399,0.00163399,0.00163399
8,77.4163,0.76343,1.18602,0.9392,0.49637,0.99107,0.54608,0.46149,0.63296,1.07627,0.86306,0.00162849,0.00162849,0.00162849
9,85.193,0.73224,1.13776,0.93932,0.4986,0.99107,0.58231,0.49173,0.62931,0.96552,0.86238,0.00162299,0.00162299,0.00162299
10,94.5009,0.74075,1.10378,0.93441,0.50558,1,0.64576,0.55464,0.57008,0.94194,0.85235,0.00161749,0.00161749,0.00161749
11,103.749,0.75149,1.09,0.93055,0.49745,0.99142,0.57048,0.47045,0.66514,0.95725,0.86655,0.00161199,0.00161199,0.00161199
12,111.342,0.73605,1.06527,0.93575,0.53264,0.95727,0.68245,0.58316,0.6094,0.90706,0.8527,0.00160649,0.00160649,0.00160649
13,120.533,0.70299,1.02848,0.91673,0.54534,0.88393,0.71619,0.60874,0.62581,0.89084,0.85255,0.00160099,0.00160099,0.00160099
14,129.884,0.69224,1.01811,0.91411,0.49608,1,0.49986,0.42987,0.58986,0.93642,0.85925,0.00159549,0.00159549,0.00159549
15,137.308,0.68755,1.01522,0.92253,0.51699,0.96397,0.58133,0.50753,0.5425,0.88997,0.84011,0.00158998,0.00158998,0.00158998
16,146.603,0.65734,0.99014,0.90916,0.49496,1,0.51291,0.4472,0.54857,0.93367,0.84311,0.00158448,0.00158448,0.00158448
17,155.929,0.67174,0.98894,0.91026,0.50149,1,0.52859,0.46239,0.55469,0.91174,0.84685,0.00157898,0.00157898,0.00157898
18,165.199,0.67433,0.98357,0.92392,0.50201,1,0.66068,0.57132,0.55653,0.85792,0.84878,0.00157348,0.00157348,0.00157348
19,172.589,0.66726,0.97889,0.91225,0.51989,0.98214,0.64551,0.56836,0.54329,0.85861,0.83699,0.00156798,0.00156798,0.00156798
20,181.709,0.6656,0.96954,0.91373,0.53852,0.98214,0.65328,0.57061,0.52251,0.85297,0.83481,0.00156248,0.00156248,0.00156248
21,190.987,0.65826,0.95661,0.91647,0.55381,0.97676,0.73382,0.64387,0.55706,0.84585,0.8493,0.00155698,0.00155698,0.00155698
