epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7614,1.60712,3.31174,1.64416,0.39804,0.90179,0.41535,0.31477,0.87375,1.58625,0.95955,0.000545744,0.000545744,0.000545744
2,23.8521,0.88299,1.27607,1.04434,0.70396,0.79464,0.70464,0.54023,0.91969,1.52666,1.13081,0.00109778,0.00109778,0.00109778
3,34.9594,0.85971,1.16188,1.0498,0.4733,0.94643,0.49415,0.40288,0.71672,1.54323,1.01032,0.00164614,0.00164614,0.00164614
4,44.0621,0.80348,1.1022,1.03229,0.48982,0.99107,0.51653,0.43091,0.65118,1.04941,0.992,0.0016505,0.0016505,0.0016505
5,56.0524,0.77125,1.06476,1.02866,0.72622,0.82342,0.90055,0.72024,0.75801,1.16448,1.07603,0.001645,0.001645,0.001645
6,67.4948,0.71948,1.03742,0.98454,0.49856,1,0.56011,0.47598,0.61905,0.97584,0.96156,0.00163949,0.00163949,0.00163949
7,76.4165,0.71706,0.97891,0.9847,0.46442,0.98214,0.50854,0.41804,0.6663,1.04928,0.97528,0.00163399,0.00163399,0.00163399
8,88.3754,0.71776,0.98276,0.98441,0.48963,0.99107,0.53637,0.45007,0.59116,0.95686,0.94634,0.00162849,0.00162849,0.00162849
9,100.83,0.70301,0.99056,0.99506,0.57463,0.86641,0.699,0.60442,0.59485,0.90434,0.94643,0.00162299,0.00162299,0.00162299
10,111.357,0.71886,0.96334,0.99306,0.49678,0.99107,0.522,0.43634,0.60913,0.96456,0.96267,0.00161749,0.00161749,0.00161749
11,122.759,0.71371,0.96158,0.98486,0.52417,0.94643,0.64939,0.56195,0.56774,0.86324,0.92694,0.00161199,0.00161199,0.00161199
12,134.787,0.71528,0.9662,0.99592,0.55221,0.95536,0.69773,0.60962,0.56807,0.88433,0.94488,0.00160649,0.00160649,0.00160649
13,145.909,0.69154,0.94892,0.97301,0.48732,0.94643,0.53547,0.4199,0.72486,1.05068,1.01059,0.00160099,0.00160099,0.00160099
14,155.241,0.68454,0.92702,0.97537,0.49876,1,0.50975,0.43205,0.59728,0.93976,0.95451,0.00159549,0.00159549,0.00159549
15,167.408,0.68219,0.93885,0.98236,0.47247,1,0.5255,0.46144,0.53391,0.95672,0.9133,0.00158998,0.00158998,0.00158998
16,176.4,0.6467,0.92621,0.95979,0.4921,1,0.52033,0.4444,0.56751,0.91315,0.91814,0.00158448,0.00158448,0.00158448
17,188.83,0.65872,0.91738,0.95488,0.48636,0.97321,0.50781,0.44602,0.54988,0.93938,0.91326,0.00157898,0.00157898,0.00157898
18,199.766,0.66139,0.92988,0.97889,0.54851,0.89767,0.68968,0.59161,0.58253,0.85851,0.93261,0.00157348,0.00157348,0.00157348
19,208.354,0.64307,0.91694,0.95537,0.50572,1,0.6008,0.51582,0.58327,0.86454,0.94653,0.00156798,0.00156798,0.00156798
20,218.956,0.64987,0.91135,0.96117,0.52479,0.96617,0.70671,0.60273,0.55253,0.85256,0.93004,0.00156248,0.00156248,0.00156248
21,229.587,0.63858,0.89462,0.95376,0.60757,0.9375,0.76099,0.6652,0.54145,0.79747,0.91699,0.00155698,0.00155698,0.00155698
22,238.364,0.64996,0.90679,0.96784,0.49798,1,0.4975,0.4278,0.56546,1.06803,0.93993,0.00155148,0.00155148,0.00155148
23,249.059,0.63426,0.91554,0.95418,0.50434,0.98922,0.59839,0.52908,0.52057,0.85604,0.9263,0.00154598,0.00154598,0.00154598
24,259.559,0.63967,0.91257,0.95889,0.53705,0.96497,0.73897,0.64296,0.54964,0.82423,0.93162,0.00154047,0.00154047,0.00154047
25,268.32,0.62421,0.89285,0.95473,0.53998,0.95536,0.69159,0.60012,0.59842,0.85149,0.94395,0.00153497,0.00153497,0.00153497
26,278.853,0.61912,0.89808,0.95162,0.50416,1,0.59332,0.52256,0.52635,0.8388,0.90816,0.00152947,0.00152947,0.00152947
27,290.581,0.62222,0.88305,0.9479,0.49821,0.99107,0.55693,0.49033,0.5383,0.86908,0.91851,0.00152397,0.00152397,0.00152397
28,299.825,0.60548,0.87341,0.95132,0.58057,0.98902,0.79969,0.70595,0.49044,0.72027,0.89401,0.00151847,0.00151847,0.00151847
29,310.252,0.58917,0.8903,0.94245,0.49916,1,0.50202,0.44423,0.52106,0.93043,0.91184,0.00151297,0.00151297,0.00151297
30,320.793,0.61687,0.88893,0.9485,0.50501,1,0.62589,0.56223,0.48137,0.81607,0.90696,0.00150747,0.00150747,0.00150747
31,331.199,0.59595,0.87717,0.94734,0.55229,0.96599,0.68259,0.59714,0.55278,0.8104,0.93141,0.00150197,0.00150197,0.00150197
32,341.572,0.59229,0.88547,0.94415,0.56083,0.91964,0.72985,0.63831,0.56081,0.8092,0.91566,0.00149647,0.00149647,0.00149647
33,352.003,0.60389,0.87519,0.93954,0.62122,0.91071,0.80613,0.72143,0.50785,0.76807,0.91031,0.00149096,0.00149096,0.00149096
34,362.469,0.60981,0.88697,0.95087,0.52671,0.95536,0.64932,0.56722,0.54172,0.82677,0.90887,0.00148546,0.00148546,0.00148546
35,374.69,0.58603,0.8652,0.94081,0.69105,0.89286,0.87084,0.75004,0.55537,0.69937,0.92494,0.00147996,0.00147996,0.00147996
36,385.269,0.59792,0.87471,0.94334,0.58061,0.87404,0.74309,0.65519,0.52693,0.79213,0.90014,0.00147446,0.00147446,0.00147446
37,393.971,0.60312,0.88697,0.94442,0.51167,0.97321,0.58088,0.50672,0.55054,0.85472,0.91645,0.00146896,0.00146896,0.00146896
38,404.308,0.59302,0.86759,0.93171,0.49945,0.99107,0.5421,0.47939,0.53827,0.90268,0.91562,0.00146346,0.00146346,0.00146346
39,415.02,0.59421,0.87583,0.94799,0.69406,0.91964,0.9253,0.82598,0.51297,0.70949,0.91186,0.00145796,0.00145796,0.00145796
40,423.75,0.59775,0.86864,0.94165,0.49721,0.99007,0.49986,0.44248,0.5238,0.91983,0.9166,0.00145246,0.00145246,0.00145246
41,435.232,0.59256,0.88,0.94052,0.4987,1,0.50437,0.44692,0.48867,0.88152,0.90134,0.00144696,0.00144696,0.00144696
42,448.213,0.54979,0.85481,0.9255,0.69858,0.89017,0.87102,0.77491,0.49989,0.72126,0.9109,0.00144145,0.00144145,0.00144145
43,459.754,0.58968,0.84899,0.94168,0.51567,0.99107,0.65063,0.57004,0.49085,0.80523,0.8919,0.00143595,0.00143595,0.00143595
44,467.839,0.56519,0.85233,0.92735,0.51183,0.99183,0.7147,0.6355,0.47429,0.79241,0.88982,0.00143045,0.00143045,0.00143045
45,480.199,0.5841,0.87095,0.9402,0.65571,0.9103,0.88174,0.78253,0.48552,0.70486,0.90777,0.00142495,0.00142495,0.00142495
46,490.933,0.57354,0.85129,0.93502,0.5567,0.92857,0.76124,0.68066,0.48788,0.77088,0.89591,0.00141945,0.00141945,0.00141945
47,499.914,0.59028,0.84215,0.93756,0.49656,0.99199,0.5245,0.46634,0.5138,0.94257,0.90175,0.00141395,0.00141395,0.00141395
48,511.981,0.58241,0.86149,0.94335,0.5415,0.91293,0.71303,0.6259,0.52367,0.82304,0.91749,0.00140845,0.00140845,0.00140845
49,524.412,0.56103,0.85464,0.93053,0.54312,0.95536,0.76675,0.6647,0.51768,0.76843,0.91291,0.00140295,0.00140295,0.00140295
50,534.973,0.5744,0.84791,0.93458,0.53103,0.92857,0.65203,0.58162,0.48614,0.8111,0.89137,0.00139745,0.00139745,0.00139745
51,547.178,0.55463,0.85006,0.92949,0.57482,0.94415,0.78066,0.69397,0.4941,0.75659,0.89745,0.00139195,0.00139195,0.00139195
52,557.847,0.56666,0.85398,0.93677,0.60531,0.88393,0.73233,0.64652,0.48853,0.75993,0.89755,0.00138644,0.00138644,0.00138644
53,570.153,0.57536,0.85645,0.92974,0.56685,0.90125,0.78245,0.68977,0.53119,0.76982,0.91214,0.00138094,0.00138094,0.00138094
54,578.599,0.55554,0.84031,0.92806,0.72891,0.91964,0.91657,0.81159,0.49919,0.65339,0.91714,0.00137544,0.00137544,0.00137544
55,591.148,0.56843,0.83506,0.93454,0.49892,0.99956,0.53331,0.47473,0.48154,0.91202,0.89862,0.00136994,0.00136994,0.00136994
56,600.609,0.55853,0.84368,0.93634,0.49779,1,0.56399,0.49636,0.52293,0.86751,0.92508,0.00136444,0.00136444,0.00136444
57,612.639,0.55825,0.81702,0.93014,0.56139,0.88871,0.69494,0.6067,0.53111,0.77152,0.92947,0.00135894,0.00135894,0.00135894
58,625.279,0.56741,0.84624,0.93308,0.77093,0.85543,0.88981,0.7784,0.51394,0.63434,0.92059,0.00135344,0.00135344,0.00135344
59,636.026,0.55821,0.83532,0.94281,0.4996,0.99727,0.54685,0.47809,0.51861,0.88971,0.93221,0.00134794,0.00134794,0.00134794
60,646.652,0.57692,0.84732,0.93256,0.49702,0.99107,0.61469,0.54931,0.50536,0.85518,0.90982,0.00134244,0.00134244,0.00134244
61,657.239,0.54053,0.8287,0.91906,0.51471,0.98424,0.59616,0.52374,0.48079,0.84697,0.90831,0.00133693,0.00133693,0.00133693
62,667.789,0.5428,0.83081,0.93093,0.55442,0.94643,0.75538,0.66432,0.50805,0.73249,0.91522,0.00133143,0.00133143,0.00133143
63,678.514,0.54071,0.82702,0.92047,0.55067,0.89286,0.6701,0.59177,0.48842,0.79263,0.90088,0.00132593,0.00132593,0.00132593
64,690.608,0.54708,0.81642,0.92406,0.54537,0.9375,0.68367,0.61046,0.48116,0.77714,0.89894,0.00132043,0.00132043,0.00132043
65,699.521,0.55205,0.82613,0.92129,0.73285,0.83929,0.86708,0.77562,0.49266,0.66734,0.90483,0.00131493,0.00131493,0.00131493
66,709.972,0.53254,0.80023,0.91546,0.5821,0.92046,0.81209,0.72219,0.47363,0.71591,0.89389,0.00130943,0.00130943,0.00130943
67,720.569,0.54725,0.78855,0.92943,0.72744,0.85371,0.82633,0.73295,0.50703,0.64753,0.92604,0.00130393,0.00130393,0.00130393
68,729.436,0.55383,0.78952,0.9422,0.58171,0.96205,0.82747,0.72793,0.51362,0.78409,0.92452,0.00129843,0.00129843,0.00129843
69,739.972,0.54188,0.75152,0.93662,0.73917,0.89889,0.90386,0.80726,0.48059,0.60808,0.90919,0.00129293,0.00129293,0.00129293
70,751.593,0.54818,0.76005,0.93108,0.59615,0.8801,0.81388,0.70237,0.54416,0.86342,0.93473,0.00128742,0.00128742,0.00128742
71,761.388,0.5462,0.72121,0.91971,0.86223,0.875,0.90188,0.75113,0.62473,0.60933,0.97611,0.00128192,0.00128192,0.00128192
72,771.737,0.56375,0.75706,0.92931,0.91904,0.90728,0.9722,0.8759,0.47647,0.48016,0.89035,0.00127642,0.00127642,0.00127642
73,782.273,0.5497,0.66643,0.92639,0.86328,0.91609,0.95066,0.84752,0.48849,0.51476,0.90797,0.00127092,0.00127092,0.00127092
74,790.639,0.52971,0.63719,0.91886,0.84619,0.89528,0.94371,0.84346,0.47818,0.51938,0.90027,0.00126542,0.00126542,0.00126542
75,801.043,0.53634,0.62473,0.92142,0.94142,0.97034,0.98957,0.8989,0.45299,0.33599,0.87761,0.00125992,0.00125992,0.00125992
76,811.477,0.52115,0.57658,0.91614,0.89534,0.90906,0.96788,0.88688,0.44503,0.44752,0.87661,0.00125442,0.00125442,0.00125442
77,820.235,0.5264,0.54266,0.91904,0.93339,0.95536,0.97685,0.89015,0.50391,0.36791,0.90251,0.00124892,0.00124892,0.00124892
78,830.507,0.52529,0.54846,0.91033,0.93083,0.9419,0.98785,0.89231,0.47903,0.33736,0.90761,0.00124342,0.00124342,0.00124342
79,840.888,0.53113,0.54494,0.92627,0.96986,0.95379,0.98704,0.89879,0.46921,0.3428,0.88823,0.00123791,0.00123791,0.00123791
80,849.332,0.53859,0.54372,0.9268,0.9707,0.93521,0.98672,0.88677,0.48694,0.33314,0.90215,0.00123241,0.00123241,0.00123241
81,859.912,0.53262,0.53214,0.92124,0.826,0.95536,0.96564,0.86572,0.49809,0.44053,0.90456,0.00122691,0.00122691,0.00122691
82,870.345,0.53931,0.54439,0.92262,0.97303,0.96712,0.99215,0.90241,0.46106,0.30827,0.88504,0.00122141,0.00122141,0.00122141
83,879.006,0.52986,0.54703,0.92977,0.91784,0.98214,0.9885,0.90111,0.47477,0.32421,0.88038,0.00121591,0.00121591,0.00121591
84,889.331,0.539,0.5171,0.91487,0.89633,0.94643,0.98118,0.88629,0.47852,0.361,0.89654,0.00121041,0.00121041,0.00121041
85,900.024,0.51537,0.4957,0.91507,0.96927,0.96928,0.99134,0.9103,0.45339,0.29962,0.88255,0.00120491,0.00120491,0.00120491
86,908.428,0.52487,0.49728,0.92376,0.96526,0.95732,0.99148,0.90246,0.47159,0.31761,0.90088,0.00119941,0.00119941,0.00119941
87,918.687,0.50888,0.49938,0.92052,0.90185,0.99702,0.98617,0.89577,0.48919,0.32923,0.89813,0.00119391,0.00119391,0.00119391
88,929.098,0.52547,0.4708,0.91209,0.8251,0.9419,0.92901,0.83696,0.48883,0.49964,0.89085,0.0011884,0.0011884,0.0011884
89,939.664,0.5,0.48116,0.90639,0.97351,0.91199,0.98743,0.89531,0.44886,0.32743,0.88173,0.0011829,0.0011829,0.0011829
90,950.074,0.52336,0.52286,0.91432,0.95333,0.96042,0.98993,0.90384,0.4587,0.3211,0.88695,0.0011774,0.0011774,0.0011774
91,957.978,0.51294,0.47968,0.92194,0.91929,0.9968,0.99032,0.89604,0.45982,0.29649,0.89119,0.0011719,0.0011719,0.0011719
92,968.49,0.51045,0.46242,0.91032,0.95379,0.99107,0.99273,0.89249,0.48157,0.31429,0.89562,0.0011664,0.0011664,0.0011664
93,978.676,0.52061,0.46467,0.92414,0.98066,0.96921,0.99343,0.9043,0.47796,0.28859,0.89407,0.0011609,0.0011609,0.0011609
94,987.289,0.52655,0.4697,0.92263,0.91972,0.95282,0.98115,0.89459,0.461,0.34443,0.88925,0.0011554,0.0011554,0.0011554
95,997.649,0.52012,0.48811,0.91565,0.97048,0.97059,0.9922,0.90367,0.46091,0.29893,0.89433,0.0011499,0.0011499,0.0011499
96,1009.77,0.51075,0.44636,0.92487,0.95717,0.94643,0.98712,0.89601,0.46578,0.33981,0.89857,0.0011444,0.0011444,0.0011444
97,1018.51,0.50369,0.37725,0.91587,0.92536,0.99022,0.99131,0.9145,0.4631,0.2913,0.87756,0.00113889,0.00113889,0.00113889
98,1029.31,0.52614,0.38297,0.91339,0.95753,0.954,0.97852,0.89383,0.44843,0.33629,0.87678,0.00113339,0.00113339,0.00113339
99,1039.83,0.51562,0.37509,0.91232,0.9868,0.94862,0.99163,0.90518,0.46678,0.31473,0.88957,0.00112789,0.00112789,0.00112789
100,1048.37,0.49922,0.36523,0.90705,0.94772,0.98919,0.99371,0.90704,0.4567,0.28568,0.89269,0.00112239,0.00112239,0.00112239
101,1058.62,0.51974,0.3625,0.92649,0.91,0.99107,0.98906,0.90199,0.47402,0.31137,0.90376,0.00111689,0.00111689,0.00111689
102,1068.81,0.50937,0.33875,0.92321,0.93063,0.94634,0.9781,0.90088,0.46578,0.42466,0.89319,0.00111139,0.00111139,0.00111139
103,1077.31,0.5098,0.36253,0.91128,0.89935,1,0.98841,0.90513,0.45005,0.31677,0.89493,0.00110589,0.00110589,0.00110589
104,1087.57,0.50806,0.37551,0.91293,0.96968,0.94643,0.9909,0.91304,0.45058,0.29574,0.88318,0.00110039,0.00110039,0.00110039
105,1098.1,0.50146,0.36948,0.91581,0.95702,0.98214,0.9926,0.91706,0.44388,0.28598,0.8852,0.00109489,0.00109489,0.00109489
106,1106.64,0.49299,0.34565,0.91373,0.97386,0.93926,0.98956,0.91456,0.41938,0.30691,0.86743,0.00108938,0.00108938,0.00108938
107,1117.11,0.49278,0.32836,0.9087,0.95703,0.9465,0.9846,0.91552,0.45098,0.33203,0.8797,0.00108388,0.00108388,0.00108388
108,1127.67,0.50864,0.35087,0.90967,0.98698,0.98119,0.99448,0.90343,0.47693,0.26854,0.90077,0.00107838,0.00107838,0.00107838
109,1136.45,0.48714,0.31699,0.9007,0.95422,0.94643,0.98985,0.91288,0.44321,0.31672,0.88374,0.00107288,0.00107288,0.00107288
110,1146.69,0.49347,0.32451,0.90811,0.93587,0.97321,0.99002,0.9046,0.43909,0.3012,0.87455,0.00106738,0.00106738,0.00106738
111,1156.99,0.50441,0.3253,0.91771,0.90597,0.99885,0.98864,0.91353,0.44034,0.28762,0.8727,0.00106188,0.00106188,0.00106188
112,1167.02,0.49091,0.34593,0.90502,0.89738,1,0.98621,0.91339,0.44185,0.30546,0.88747,0.00105638,0.00105638,0.00105638
113,1178.04,0.49463,0.31697,0.91102,0.90029,0.99026,0.98706,0.90677,0.44965,0.30496,0.88278,0.00105088,0.00105088,0.00105088
114,1188.51,0.4792,0.32689,0.91155,0.97776,0.97321,0.99301,0.91704,0.44146,0.26675,0.88722,0.00104538,0.00104538,0.00104538
115,1197.31,0.49312,0.30736,0.91544,0.92199,0.97796,0.98871,0.91191,0.44516,0.29153,0.88766,0.00103987,0.00103987,0.00103987
116,1207.85,0.49837,0.32651,0.91845,0.90021,0.95355,0.97051,0.87478,0.50543,0.45444,0.9304,0.00103437,0.00103437,0.00103437
117,1218.18,0.47091,0.31718,0.89419,0.9026,0.99298,0.98491,0.91553,0.43712,0.33347,0.89119,0.00102887,0.00102887,0.00102887
118,1226.83,0.48636,0.31297,0.89986,0.89596,0.98744,0.98178,0.90769,0.43004,0.33616,0.881,0.00102337,0.00102337,0.00102337
119,1237.13,0.46906,0.30949,0.89982,0.88676,0.99107,0.98403,0.90801,0.442,0.31922,0.88174,0.00101787,0.00101787,0.00101787
120,1247.94,0.4915,0.32506,0.90656,0.93051,0.97321,0.98872,0.90681,0.45406,0.31785,0.88671,0.00101237,0.00101237,0.00101237
121,1256.86,0.48391,0.30161,0.90689,0.914,0.9508,0.98193,0.90535,0.48365,0.37358,0.88874,0.00100687,0.00100687,0.00100687
122,1267.49,0.48035,0.29972,0.90442,0.9094,0.99065,0.98803,0.90655,0.44255,0.29685,0.88931,0.00100137,0.00100137,0.00100137
123,1278.46,0.48643,0.3159,0.90483,0.94842,0.9499,0.98662,0.91963,0.43317,0.29544,0.88399,0.000995866,0.000995866,0.000995866
124,1287.49,0.48707,0.32219,0.89831,0.97795,0.9375,0.99266,0.92586,0.43388,0.29578,0.88963,0.000990365,0.000990365,0.000990365
125,1298.34,0.49793,0.32141,0.9042,0.95175,0.95536,0.99075,0.92229,0.43473,0.28305,0.88413,0.000984864,0.000984864,0.000984864
126,1309.11,0.47525,0.30593,0.89726,0.90722,0.99725,0.98729,0.91368,0.44581,0.30917,0.90405,0.000979362,0.000979362,0.000979362
127,1317.88,0.46464,0.29372,0.88893,0.94782,0.97321,0.98797,0.91328,0.46843,0.30625,0.90324,0.000973861,0.000973861,0.000973861
128,1328.43,0.47791,0.30174,0.893,0.92733,1,0.99284,0.91452,0.45149,0.27921,0.88313,0.00096836,0.00096836,0.00096836
129,1339.13,0.47987,0.30497,0.90302,0.95312,0.9806,0.9927,0.91636,0.45087,0.26862,0.8868,0.000962859,0.000962859,0.000962859
130,1347.98,0.47858,0.30239,0.9005,0.931,0.99689,0.99319,0.91985,0.45737,0.26571,0.90573,0.000957358,0.000957358,0.000957358
131,1358.7,0.47061,0.29463,0.90055,0.96686,0.98292,0.99422,0.92195,0.44396,0.26106,0.89395,0.000951857,0.000951857,0.000951857
132,1369.03,0.46615,0.28054,0.90143,0.96759,0.99107,0.99341,0.92447,0.43969,0.26676,0.8861,0.000946356,0.000946356,0.000946356
133,1377.17,0.47798,0.28949,0.89849,0.96455,0.97822,0.9925,0.91649,0.45472,0.27768,0.88597,0.000940855,0.000940855,0.000940855
134,1387.16,0.46972,0.30359,0.89909,0.95272,0.96035,0.98991,0.92083,0.44118,0.30132,0.87936,0.000935354,0.000935354,0.000935354
135,1397.04,0.48096,0.31163,0.90952,0.99522,0.98214,0.99474,0.92474,0.44505,0.25798,0.87866,0.000929853,0.000929853,0.000929853
136,1407.07,0.45704,0.31572,0.89956,0.94997,0.97321,0.99139,0.92493,0.43678,0.26658,0.89568,0.000924352,0.000924352,0.000924352
137,1415.07,0.47196,0.3025,0.90019,0.98261,0.94624,0.99284,0.91801,0.45987,0.28214,0.91536,0.00091885,0.00091885,0.00091885
138,1424.68,0.46858,0.28278,0.899,0.98104,0.97962,0.99318,0.92058,0.44463,0.26003,0.88948,0.000913349,0.000913349,0.000913349
139,1434.33,0.46802,0.30105,0.90294,0.95989,0.98212,0.99299,0.92442,0.44343,0.26452,0.88181,0.000907848,0.000907848,0.000907848
140,1441.97,0.45394,0.27577,0.88648,0.95625,0.97536,0.99222,0.91604,0.46124,0.28262,0.90692,0.000902347,0.000902347,0.000902347
141,1451.57,0.46292,0.28352,0.89475,0.97926,0.96664,0.99413,0.92316,0.45041,0.26368,0.88789,0.000896846,0.000896846,0.000896846
142,1461.26,0.46437,0.29714,0.89863,0.95971,0.97069,0.99353,0.92209,0.43283,0.26071,0.89235,0.000891345,0.000891345,0.000891345
143,1469.44,0.46978,0.29304,0.89779,0.93053,0.99521,0.99137,0.92698,0.43447,0.26596,0.89074,0.000885844,0.000885844,0.000885844
144,1479.57,0.45945,0.2806,0.88945,0.97325,0.95123,0.99224,0.91421,0.44366,0.27197,0.89437,0.000880343,0.000880343,0.000880343
145,1489.43,0.47515,0.28512,0.90667,0.96174,0.98436,0.99378,0.92293,0.45646,0.26336,0.91372,0.000874842,0.000874842,0.000874842
146,1497.43,0.47726,0.28568,0.90045,0.96972,0.98632,0.99466,0.93016,0.43379,0.2498,0.88817,0.00086934,0.00086934,0.00086934
147,1507.42,0.4598,0.28006,0.89514,0.99103,0.95126,0.99344,0.92762,0.44034,0.27603,0.90003,0.000863839,0.000863839,0.000863839
148,1516.98,0.45102,0.27869,0.89324,0.98657,0.98877,0.99421,0.92144,0.45595,0.25341,0.903,0.000858338,0.000858338,0.000858338
149,1526.89,0.46095,0.28105,0.89605,0.97313,0.98938,0.99465,0.91981,0.44372,0.25382,0.89685,0.000852837,0.000852837,0.000852837
150,1535.01,0.43934,0.2724,0.89089,0.97902,0.97252,0.99338,0.91738,0.43673,0.25251,0.89101,0.000847336,0.000847336,0.000847336
