epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4638,1.68458,3.62212,1.71444,0.80746,0.73214,0.82641,0.54324,1.19067,1.43624,1.10807,0.000545744,0.000545744,0.000545744
2,51.6811,0.93497,0.72857,1.00688,0.70832,0.66766,0.58389,0.41894,1.07031,1.52413,1.14791,0.00109778,0.00109778,0.00109778
3,75.9954,0.88637,0.65226,1.01379,0.93363,0.9134,0.96295,0.69738,0.97512,1.00965,1.07772,0.00164614,0.00164614,0.00164614
4,96.2542,0.85311,0.59954,0.98701,0.87316,0.91964,0.95442,0.74454,0.89278,1.02842,1.0271,0.0016505,0.0016505,0.0016505
5,110.123,0.83855,0.5192,0.98569,0.98678,0.98969,0.99079,0.79944,0.85124,0.64573,0.98724,0.001645,0.001645,0.001645
6,121.205,0.82354,0.50119,0.97239,0.96966,0.94559,0.97558,0.73289,0.98246,0.68335,1.0452,0.00163949,0.00163949,0.00163949
7,133.901,0.84926,0.48256,1.0011,0.99658,0.99107,0.99491,0.75059,0.96604,0.52423,1.04332,0.00163399,0.00163399,0.00163399
8,147.113,0.82034,0.46381,0.97435,0.98023,0.94888,0.97302,0.79427,0.7645,0.5736,0.94525,0.00162849,0.00162849,0.00162849
9,158.156,0.79074,0.44963,0.95136,0.93608,0.89501,0.95556,0.71732,0.98406,0.64202,1.02659,0.00162299,0.00162299,0.00162299
10,171.041,0.76875,0.44137,0.95335,0.9732,0.98214,0.98752,0.75396,0.8818,0.50516,0.99104,0.00161749,0.00161749,0.00161749
11,181.892,0.7586,0.41902,0.95145,0.98017,0.98214,0.98931,0.79447,0.83352,0.52892,0.967,0.00161199,0.00161199,0.00161199
12,194.419,0.75635,0.43131,0.9563,0.98392,1,0.99491,0.77154,0.81401,0.4233,0.96378,0.00160649,0.00160649,0.00160649
13,207.288,0.75427,0.42155,0.94506,0.99873,0.99056,0.99452,0.80034,0.83333,0.4589,0.95671,0.00160099,0.00160099,0.00160099
14,218.496,0.72824,0.41316,0.92482,0.99831,0.99823,0.995,0.83395,0.71005,0.40706,0.91863,0.00159549,0.00159549,0.00159549
15,232.003,0.7664,0.42279,0.95388,0.94165,0.66071,0.81698,0.60022,1.09834,1.27968,1.15898,0.00158998,0.00158998,0.00158998
16,243.043,0.73237,0.40987,0.94142,0.99824,1,0.995,0.84147,0.65969,0.38942,0.91322,0.00158448,0.00158448,0.00158448
17,256.767,0.73449,0.41218,0.92461,0.9988,0.95,0.98884,0.8045,0.80013,0.53229,0.95715,0.00157898,0.00157898,0.00157898
18,269.653,0.73659,0.40147,0.9431,0.99791,1,0.995,0.7481,1.00353,0.44838,1.03237,0.00157348,0.00157348,0.00157348
19,279.917,0.73914,0.3883,0.93865,0.99787,0.99369,0.995,0.79811,0.84368,0.43705,0.96493,0.00156798,0.00156798,0.00156798
20,292.386,0.72352,0.38804,0.92823,0.99744,1,0.995,0.81291,0.83037,0.4067,0.96535,0.00156248,0.00156248,0.00156248
21,302.114,0.74727,0.39633,0.93792,0.98533,0.77566,0.89396,0.71262,0.88636,0.98537,1.05205,0.00155698,0.00155698,0.00155698
22,313.706,0.71004,0.37603,0.90384,0.99584,0.99107,0.99491,0.76036,0.97036,0.43118,0.98548,0.00155148,0.00155148,0.00155148
