epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27099,1.46317,2.03568,1.79113,0.63706,0.38757,0.39332,0.29567,1.02116,2.99814,1.29862,0.000545744,0.000545744,0.000545744
2,6.47375,0.89346,0.63234,1.19729,0.08141,0.06942,0.02562,0.01699,3.5311,inf,7.11652,0.00109778,0.00109778,0.00109778
3,9.44054,0.90739,0.58596,1.19716,0.75496,0.81801,0.86618,0.60229,1.08305,1.37368,1.28128,0.00164614,0.00164614,0.00164614
4,12.4255,0.92063,0.53352,1.21059,0.87157,0.9384,0.98873,0.7547,0.86444,1.13322,1.19489,0.0016505,0.0016505,0.0016505
5,15.4104,0.88185,0.50593,1.19453,0.98651,0.98675,0.9946,0.78414,0.84183,0.71577,1.13325,0.001645,0.001645,0.001645
6,18.3962,0.8621,0.46726,1.15452,0.82355,0.6875,0.7505,0.60027,0.89835,1.08324,1.20485,0.00163949,0.00163949,0.00163949
7,21.3486,0.84341,0.45973,1.17772,0.98774,0.90636,0.99036,0.78648,0.81745,0.69948,1.10447,0.00163399,0.00163399,0.00163399
8,24.3316,0.8237,0.43839,1.14188,0.97036,0.99099,0.99446,0.8172,0.77138,0.44905,1.08508,0.00162849,0.00162849,0.00162849
9,27.3096,0.81251,0.43359,1.12952,0.93454,0.91568,0.95788,0.74531,0.8623,0.76891,1.10964,0.00162299,0.00162299,0.00162299
10,30.2629,0.81351,0.42681,1.13962,0.9863,0.96615,0.99252,0.82309,0.70815,0.40017,1.01844,0.00161749,0.00161749,0.00161749
11,33.2578,0.7814,0.42774,1.10409,0.84349,0.58108,0.64927,0.48516,1.15616,1.83391,1.3551,0.00161199,0.00161199,0.00161199
12,36.2043,0.81837,0.4295,1.12342,0.97347,0.98256,0.9946,0.74699,0.97777,0.4867,1.18807,0.00160649,0.00160649,0.00160649
13,39.147,0.77542,0.4188,1.09461,0.54177,0.37268,0.39389,0.26028,1.79012,2.57782,2.06952,0.00160099,0.00160099,0.00160099
14,42.0995,0.7447,0.38427,1.07991,0.99904,0.9955,0.995,0.82522,0.75399,0.35854,1.05037,0.00159549,0.00159549,0.00159549
15,45.0838,0.762,0.38892,1.09383,0.99217,0.9955,0.995,0.80274,0.84298,0.40201,1.09389,0.00158998,0.00158998,0.00158998
16,48.0395,0.75779,0.39372,1.10212,0.99103,0.9955,0.995,0.78746,0.82782,0.41203,1.07905,0.00158448,0.00158448,0.00158448
17,50.9977,0.74162,0.36833,1.06344,0.98554,0.97858,0.99178,0.82745,0.73057,0.39763,1.03875,0.00157898,0.00157898,0.00157898
18,53.9776,0.76711,0.3707,1.09679,0.98994,0.99939,0.99491,0.7746,0.91831,0.39901,1.15052,0.00157348,0.00157348,0.00157348
19,56.9728,0.76121,0.37651,1.08432,0.99856,0.99099,0.995,0.81409,0.75832,0.36426,1.05138,0.00156798,0.00156798,0.00156798
20,59.927,0.73637,0.36826,1.07949,0.9949,0.99944,0.995,0.84478,0.65189,0.32184,0.99234,0.00156248,0.00156248,0.00156248
21,62.9158,0.73341,0.35767,1.07199,0.99408,0.9955,0.99495,0.84443,0.69395,0.3376,1.01056,0.00155698,0.00155698,0.00155698
22,65.8732,0.73189,0.36992,1.06616,0.99602,0.9657,0.99235,0.7811,0.87472,0.41439,1.10218,0.00155148,0.00155148,0.00155148
23,68.8499,0.73335,0.36606,1.07979,0.98829,0.98277,0.99491,0.84394,0.68567,0.3563,1.00554,0.00154598,0.00154598,0.00154598
24,71.8132,0.7309,0.35595,1.07218,1,0.9874,0.99133,0.82782,0.74692,0.38079,1.04782,0.00154047,0.00154047,0.00154047
25,74.7781,0.71659,0.35618,1.06929,0.99566,1,0.995,0.83177,0.68506,0.33023,0.99098,0.00153497,0.00153497,0.00153497
26,77.7344,0.73867,0.36069,1.07809,0.99894,0.9955,0.995,0.82035,0.7663,0.35082,1.03406,0.00152947,0.00152947,0.00152947
27,80.7033,0.72668,0.36159,1.06512,0.9989,0.9955,0.995,0.79659,0.83181,0.35118,1.07199,0.00152397,0.00152397,0.00152397
28,83.6825,0.71576,0.34321,1.05951,0.99615,0.99015,0.995,0.79981,0.88324,0.39237,1.12159,0.00151847,0.00151847,0.00151847
29,86.6468,0.71993,0.34729,1.05487,0.99489,0.99099,0.99495,0.78938,0.81746,0.36132,1.08613,0.00151297,0.00151297,0.00151297
30,89.5985,0.73864,0.35131,1.05856,0.98363,0.95446,0.98939,0.81195,0.78396,0.442,1.07842,0.00150747,0.00150747,0.00150747
31,92.5515,0.70995,0.34305,1.05889,0.99598,0.99881,0.995,0.84204,0.68777,0.31712,0.99732,0.00150197,0.00150197,0.00150197
32,95.5061,0.70834,0.34057,1.05549,0.99678,0.9955,0.995,0.83658,0.74035,0.3291,1.02208,0.00149647,0.00149647,0.00149647
33,98.4656,0.72357,0.34925,1.0488,0.99737,1,0.995,0.81233,0.8312,0.33654,1.07314,0.00149096,0.00149096,0.00149096
34,101.426,0.71553,0.33433,1.04947,0.99909,1,0.995,0.79259,0.88113,0.35695,1.10904,0.00148546,0.00148546,0.00148546
35,104.376,0.70091,0.33023,1.05585,0.9984,1,0.995,0.81711,0.78809,0.32072,1.04113,0.00147996,0.00147996,0.00147996
36,107.334,0.68496,0.31978,1.02668,0.99849,1,0.995,0.82509,0.80533,0.3373,1.04819,0.00147446,0.00147446,0.00147446
